盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/08,,,,,,0,0,0,0,0,0,0,28.8,0
2016,2017,2017/06/16,2017/07/26,24.35,,,2017/08/16,0.6,0,0.6,0,0,0,0.6,25.8,2.33
2015,2016,2016/05/27,2016/07/28,16.6,2016/07/28,16.6,2016/08/26,0.2,0,0.2,0,0.8,0.8,1,18.2,5.49
2014,2015,2015/06/03,2015/07/01,18.4,,,2015/07/22,0.5,0.6,1.1,0,0,0,1.1,19.1,5.75
2013,2014,2014/08/22,2014/10/01,26.7,2014/10/01,26.7,2014/11/06,1.4,0,1.4,0.5,0,0.5,1.9,29.1,6.51
2012,2013,2013/05/30,2013/07/22,26.65,,,,2.5,0,2.5,0,0,0,2.5,27.9,8.96
2011,2012,2012/05/25,2012/08/09,29.65,2012/08/09,29.65,,2.5,0,2.5,0,0.5,0.5,3,31.3,9.58
2010,2011,2011/06/10,2011/07/21,27.1,2011/07/21,27.1,,2,0,2,0,0.3,0.3,2.3,28.8,8
2009,2010,2010/06/23,2010/07/12,39.75,,,,3,0,3,0,0,0,3,43.4,6.91
2008,2009,2009/06/16,2009/09/09,56.8,2009/09/09,56.8,,1.08,0,1.08,0.18,0.18,0.36,1.44,34.3,4.21
2007,2008,2008/06/13,2008/09/23,11.7,2008/09/23,11.7,,1.2,0,1.2,0,0.4,0.4,1.6,14.8,10.81
2006,2007,2007/06/21,2007/10/08,23.2,2007/10/08,23.2,,0.95,0,0.95,0,0.28,0.28,1.23,22.1,5.56
2005,2006,2006/06/29,2006/09/14,13.45,2006/09/14,13.45,,1,0,1,0.4,0,0.4,1.4,15.2,9.18
2004,2005,2005/06/24,2005/09/12,11.9,,,,0.9,0,0.9,0,0,0,0.9,12.2,7.36
2003,2004,2004/06/29,2004/08/30,13.25,2004/08/30,13.25,,1,0,1,0.5,0,0.5,1.5,15,10.03
2002,2003,2003/06/24,2003/09/02,15.9,2003/09/02,15.9,,0.3,0,0.3,0.2,0,0.2,0.5,18.8,2.66
2001,2002,2002/06/24,2002/09/10,18,,,,0.4,0,0.4,0,0,0,0.4,23.4,1.71
2000,2001,2001/05/16,,,,,,0.3,0,0.3,0.5,0,0.5,0.8,16.3,4.92
1999,2000,2000/06/19,,,2000/08/04,24.6,,0,0,0,1,0,1,1,16.8,5.97
1998,1999,1999/06/08,,,1999/08/20,24.6,,0,0,0,1,1,2,2,19.6,10.22
1997,1998,1998/06/16,,,1998/08/21,38.6,,0,0,0,1,1,2,2,28.2,7.1
1996,1997,1997/06/16,,,1997/08/16,39.4,,0,0,0,1.2,0,1.2,1.2,35.5,3.38
1995,1996,1996/06/25,1996/08/12,14.03,1996/08/12,17,,0.4,0,0.4,0.6,0,0.6,1,19,5.27
1994,1995,1995/05/15,,,1995/07/22,23,,0,0,0,1,0,1,1,16.1,6.22
1993,1994,1994/06/08,1994/09/30,16,,,,0.4,0,0.4,0,0,0,0.4,,
1992,1993,,,,,,,0.4,0,0.4,0,0,0,0.4,,
1991,1992,,,,,,,0,0,0,2,0,2,2,,
1990,1991,,,,,,,0.5,0,0.5,0,0,0,0.5,,
1989,1990,,,,,,,0,0,0,3.85,0,3.85,3.85,,
