盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/12,2018/07/04,23.5,,,2018/07/20(即將發放),1.75,0,1.75,0,0,0,1.75,33.4,5.25
2016,2017,2017/06/14,2017/07/10,33.5,,,2017/07/27,1.49,0,1.49,0,0,0,1.49,35.3,4.22
2015,2016,2016/06/07,2016/07/05,15.45,,,2016/07/21,1,0,1,0,0,0,1,14,7.12
2014,2015,2015/06/09,2015/07/09,11.5,,,2015/07/29,0.9,0,0.9,0,0,0,0.9,12.1,7.44
2013,2014,2014/06/11,2014/07/09,15.5,2014/07/09,15.5,2014/07/29,0.8,0,0.8,0,0,0,0.8,15,5.32
2012,2013,2013/06/14,2013/07/04,9.79,,,,0.4,0,0.4,0,0,0,0.4,10.6,3.8
2011,2012,2012/06/13,,,,,,0,0,0,0,0,0,0,8.24,0
2010,2011,2011/06/10,2011/07/06,10.55,,,,0.71,0,0.71,0,0,0,0.71,10.6,6.75
2009,2010,2010/06/09,2010/07/21,10.15,,,,0.51,0,0.51,0,0,0,0.51,10.8,4.75
2008,2009,2009/06/10,,,,,,0,0,0,0,0,0,0,8.71,0
2007,2008,2008/05/30,,,2008/08/06,8.99,,0,0,0,0.51,0,0.51,0.51,9.96,5.17
2006,2007,2007/06/08,2007/08/07,14.75,2007/08/07,14.75,,0.3,0,0.3,0.51,0,0.51,0.81,14.8,5.49
2005,2006,2006/06/02,2006/06/29,8.64,,,,0.61,0,0.61,0,0,0,0.61,10.2,6.04
2004,2005,2005/05/20,2005/06/30,8,,,,0.6,0,0.6,0,0,0,0.6,8.31,7.27
2003,2004,2004/05/11,2004/06/10,11.4,,,,0.3,0,0.3,0,0,0,0.3,10.8,2.79
2002,2003,2003/05/23,2003/06/23,5.3,,,,0.2,0,0.2,0,0,0,0.2,6.28,3.18
2001,2002,2002/05/23,,,,,,0,0,0,0,0,0,0,4.95,0
2000,2001,2001/04/27,,,,,,0,0,0,0,0,0,0,4.62,0
1999,2000,2000/05/30,,,2000/08/05,7.37,,0,0,0,0.2,0.8,1,1,8.05,12.42
1998,1999,,,,,,,0,0,0,0,0,0,0,11.6,0
1997,1998,,,,,,,0,0,0,0.3,0.5,0.8,0.8,13.1,6.11
1996,1997,,,,,,,0,0,0,0.7,0.3,1,1,18.4,5.42
1995,1996,,,,,,,0,0,0,0,1,1,1,17.9,5.57
1994,1995,,,,,,,0,0,0,1,1,2,2,27.5,7.26
1993,1994,,,,,,,0,0,0,0,0,0,0,33.2,0
1992,1993,1993/04/02,,,,,,0,0,0,0,0,0,0,19.1,0
1991,1992,1992/04/15,,,,,,0,0,0,0,0,0,0,24.3,0
1990,1991,1991/03/27,,,,,,0,0,0,0,0,0,0,31.3,0
1989,1990,1990/03/18,,,1990/06/25,29,,0,0,0,0,0.5,0.5,0.5,,
1987,1988,,,,,,,0,0,0,4,0,4,4,,
1986,1987,,,,,,,0,0,0,2.6,0,2.6,2.6,,
1984,1985,,,,,,,0,0,0,2.3,0,2.3,2.3,,
1983,1984,,,,,,,0.8,0,0.8,2.7,0,2.7,3.5,,
