盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/29,,,,,,0,0,0,0,0,0,0,10.9,0
2016,2017,2017/06/20,,,,,,0,0,0,0,0,0,0,12.1,0
2015,2016,2016/05/27,,,,,,0,0,0,0,0,0,0,13.9,0
2014,2015,2015/05/25,2015/08/07,12.3,,,2015/09/04,0.5,0,0.5,0,0,0,0.5,17.3,2.9
2013,2014,2014/05/30,2014/09/10,21.85,,,2014/10/02,0.47,0,0.47,0,0,0,0.47,20.6,2.3
2012,2013,2013/05/31,2013/07/09,16.7,,,,1,0,1,0,0,0,1,19.5,5.13
2011,2012,2012/05/03,2012/07/25,16.3,,,,1,0,1,0,0,0,1,18.2,5.51
2010,2011,2011/05/18,2011/07/04,28.8,2011/07/04,28.8,,0.3,0,0.3,0.4,0,0.4,0.7,29.2,2.4
2009,2010,2010/06/25,,,,,,0,0,0,0,0,0,0,17.6,0
2008,2009,2009/06/26,,,,,,0,0,0,0,0,0,0,4.67,0
2007,2008,2008/06/05,,,,,,0,0,0,0,0,0,0,5.82,0
2006,2007,2007/06/22,,,,,,0,0,0,0,0,0,0,9.35,0
2005,2006,2006/06/13,,,,,,0,0,0,0,0,0,0,4.76,0
2004,2005,2005/06/10,,,,,,0,0,0,0,0,0,0,5.07,0
2003,2004,2004/06/10,,,,,,0,0,0,0,0,0,0,6.31,0
2002,2003,2003/06/18,,,,,,0,0,0,0,0,0,0,3.42,0
2001,2002,2002/06/28,,,,,,0,0,0,0,0,0,0,1.81,0
2000,2001,2001/06/20,,,,,,0,0,0,0,0,0,0,0.91,0
1999,2000,2000/08/25,,,,,,0,0,0,0,0,0,0,3.3,0
1998,1999,1999/08/27,,,,,,0,0,0,0,0,0,0,7.53,0
1997,1998,1998/05/02,,,,,,0,0,0,1.7,0,1.7,1.7,28.2,6.03
1996,1997,1997/04/18,,,1997/06/07,,,0,0,0,0.9,0.6,1.5,1.5,,
1995,1996,1996/04/09,,,1996/05/17,,,0,0,0,1,1,2,2,,
1994,1995,,,,,,,0,0,0,0.8,1,1.8,1.8,,
1993,1994,,,,,,,0,0,0,0,0,0,0,,
1992,1993,,,,,,,0,0,0,2,0.4,2.4,2.4,,
