盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/11,2018/08/14,36.5,,,2018/09/14(即將發放),2.05,0.45,2.5,0,0,0,2.5,37.5,6.67
2016,2017,2017/06/16,2017/08/17,34.8,,,2017/09/29,0,0.5,0.5,0,0,0,0.5,35.7,1.4
2015,2016,2016/06/06,2016/09/05,31.4,2016/09/05,31.4,2016/10/03,0.5,0,0.5,1.3,0,1.3,1.8,38.5,4.68
2014,2015,2015/06/22,2015/09/03,50.1,,,2015/10/01,1.99,0,1.99,0,0,0,1.99,52.5,3.8
2013,2014,2014/06/06,2014/08/28,50.2,,,2014/10/06,2.5,0,2.5,0,0,0,2.5,51.3,4.87
2012,2013,2013/06/21,2013/09/12,56.2,2013/09/12,56.2,,2,0,2,1,0,1,3,58.8,5.1
2011,2012,2012/06/08,2012/08/09,57.5,2012/08/09,57.5,,2.8,0,2.8,1,0,1,3.8,57.4,6.62
2010,2011,2011/06/10,2011/07/07,62.1,2011/09/09,50.9,,2.5,0,2.5,1.3,0,1.3,3.8,56.5,6.73
2009,2010,2010/06/18,2010/07/15,52.2,,,,3.5,0,3.5,0,0,0,3.5,52.1,6.72
2008,2009,2009/06/01,2009/07/02,43.6,,,,3,0,3,0,0,0,3,41.8,7.18
2007,2008,2008/06/19,2008/07/24,41.7,,,,3.3,0,3.3,0,0,0,3.3,39.4,8.37
2006,2007,2007/06/25,2007/07/26,49.6,,,,3,0,3,0,0,0,3,42.4,7.08
2005,2006,2006/06/16,2006/07/26,30.7,,,,3,0,3,0,0,0,3,32.6,9.21
2004,2005,2005/06/27,2005/07/26,30.1,,,,3,0,3,0,0,0,3,29.8,10.07
2003,2004,2004/06/10,2004/06/30,32.7,2004/06/30,32.7,,1.5,0,1.5,1.5,0,1.5,3,31.9,9.4
2002,2003,2003/05/20,2003/06/10,33.6,,,,2.8,0,2.8,0,0,0,2.8,34.2,8.18
2001,2002,2002/04/01,,,,,,2,0,2,0,0,0,2,28.8,6.95
2000,2001,2001/06/11,,,,,,0,0,0,0,0,0,0,,
