盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/22,,,,,,0,0,0,0,0,0,0,6.55,0
2016,2017,2017/06/14,2017/08/24,6.25,,,2017/09/13,0.25,0,0.25,0,0,0,0.25,7,3.57
2015,2016,2016/06/07,2016/08/02,6.39,,,2016/08/25,0.3,0,0.3,0,0,0,0.3,6.44,4.66
2014,2015,2015/06/25,2015/08/27,6.01,,,2015/09/23,0.3,0,0.3,0,0,0,0.3,7.53,3.98
2013,2014,2014/06/25,2014/08/27,8.13,,,2014/09/19,0.1,0,0.1,0,0,0,0.1,8.07,1.24
2012,2013,2013/06/25,2013/09/24,7.7,2013/09/24,7.7,,0.31,0,0.31,0.2,0,0.2,0.51,8.4,6.09
2011,2012,2012/06/06,2012/07/31,8.27,2012/07/31,8.27,,0.3,0,0.3,0.5,0,0.5,0.8,8.62,9.28
2010,2011,2011/06/15,2011/10/17,9.22,2011/10/17,9.22,,0.14,0,0.14,0.56,0,0.56,0.7,11.6,6.05
2009,2010,2010/06/15,,,,,,0,0,0,0,0,0,0,8.49,0
2008,2009,2009/06/19,,,,,,0,0,0,0,0,0,0,6.69,0
2007,2008,2008/06/19,,,,,,0,0,0,0,0,0,0,5.73,0
2006,2007,2007/06/15,,,,,,0,0,0,0,0,0,0,7.02,0
2005,2006,2006/06/23,,,,,,0,0,0,0,0,0,0,3.23,0
2004,2005,2005/06/24,,,,,,0,0,0,0,0,0,0,3.82,0
2003,2004,2004/06/25,,,,,,0,0,0,0,0,0,0,6.43,0
2002,2003,2003/06/30,,,,,,0,0,0,0,0,0,0,4.23,0
2001,2002,2002/06/26,,,,,,0,0,0,0,0,0,0,3.53,0
2000,2001,2001/05/25,,,,,,0,0,0,0,0,0,0,3.34,0
1999,2000,2000/05/30,,,,,,0,0,0,0,0,0,0,5.24,0
1998,1999,1999/05/15,,,,,,0,0,0,0,0.3,0.3,0.3,9.76,3.07
1997,1998,1998/05/20,,,,,,0,0,0,0,0,0,0,18.2,0
1996,1997,1997/05/24,,,1997/08/01,,,0,0,0,0,0.5,0.5,0.5,20.4,2.45
1995,1996,1996/05/25,,,1996/07/16,18.38,,0,0,0,0.46,0.04,0.5,0.5,22.4,2.23
1994,1995,1995/05/24,,,1995/07/22,16.12,,0,0,0,1,0.04,1.04,1.04,21.5,4.83
1993,1994,1994/05/20,,,1994/08/13,35.8,,0,0,0,1.84,0.06,1.9,1.9,34.6,5.5
1992,1993,1993/05/05,,,1993/07/20,43.5,,0,0,0,2.22,0.08,2.3,2.3,44.7,5.15
1991,1992,1992/04/28,,,1992/07/19,,,0,0,0,2.62,0.17,2.79,2.79,,
