盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/11,2018/07/12,9.7,,,2018/08/17(即將發放),0.4,0,0.4,0,0,0,0.4,10.9,3.67
2016,2017,2017/06/14,2017/07/20,9.46,,,2017/08/23,0.3,0,0.3,0,0,0,0.3,10.3,2.9
2015,2016,2016/06/27,2016/07/20,8.37,,,2016/08/19,0.2,0,0.2,0,0,0,0.2,8.62,2.32
2014,2015,2015/06/15,2015/07/06,13.7,,,2015/08/03,0.2,0,0.2,0,0,0,0.2,10.3,1.95
2013,2014,2014/06/23,2014/07/16,9.06,,,,0.2,0,0.2,0,0,0,0.2,9.21,2.17
2012,2013,2013/06/10,,,2013/08/22,9.31,,0,0,0,0,0.1,0.1,0.1,9.82,1.02
2011,2012,2012/06/06,2012/08/02,9.31,2012/08/02,9.31,,0.1,0,0.1,0.1,0,0.1,0.2,10.6,1.88
2010,2011,2011/06/10,2011/07/12,17.35,2011/08/04,18.3,,0.6,0,0.6,0.6,0,0.6,1.2,17,7.05
2009,2010,2010/06/14,2010/07/13,12.7,2010/09/15,15.6,,0.1,0,0.1,0.15,0,0.15,0.25,14.7,1.7
2008,2009,2009/06/10,,,,,,0,0,0,0,0,0,0,7.45,0
2007,2008,2008/06/13,2008/09/03,5.33,2008/09/03,5.33,,0.12,0,0.12,0.18,0,0.18,0.3,6.17,4.86
2006,2007,2007/06/15,2007/09/04,9.4,2007/09/04,9.4,,0.12,0,0.12,0.18,0,0.18,0.3,8.78,3.42
2005,2006,2006/06/14,2006/08/31,5.98,,,,0.1,0,0.1,0,0,0,0.1,6.54,1.53
2004,2005,2005/06/10,2005/07/29,8.66,2005/08/10,7.98,,0.25,0,0.25,0.75,0,0.75,1,8.68,11.52
2003,2004,2004/05/27,2004/06/17,8.65,2004/07/29,8.65,,0.2,0,0.2,0.3,0.1,0.4,0.6,10.7,5.6
2002,2003,2003/06/06,2003/07/29,10.25,2003/07/29,10.25,,0.4,0,0.4,0.4,0,0.4,0.8,10.7,7.46
2001,2002,2002/06/12,2002/07/16,9.2,,,,0.2,0,0.2,0,0,0,0.2,9.78,2.04
2000,2001,2001/06/13,2001/07/12,3.71,,,,0.1,0,0.1,0,0,0,0.1,4.62,2.16
1999,2000,2000/05/22,,,2000/07/14,,,0,0,0,0.45,0.15,0.6,0.6,8.28,7.25
1998,1999,1999/05/27,,,1999/07/22,,,0,0,0,0.6,0.8,1.4,1.4,15.3,9.17
1997,1998,1998/04/28,,,1998/06/02,18.5,,0,0,0,1,1,2,2,20.8,9.6
1996,1997,1997/04/26,,,1997/07/22,,,0,0,0,1,1,2,2,30.1,6.65
1995,1996,1996/06/04,,,1996/07/20,,,0,0,0,0.5,1,1.5,1.5,29.7,5.04
1994,1995,1995/04/17,,,1995/06/01,32.1,,0,0,0,1,1,2,2,35.5,5.63
1993,1994,1994/05/02,,,1994/07/29,38.58,,0,0,0,2,0,2,2,44.4,4.51
1992,1993,1993/04/28,,,1993/07/20,,,0,0,0,2.3,0,2.3,2.3,55.7,4.13
1991,1992,1992/04/10,,,1992/06/01,,,0,0,0,3.5,0.9,4.4,4.4,,
