盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/15,2018/07/17,29,,,2018/08/10,1.26,0.24,1.5,0,0,0,1.5,33.5,4.48
2016,2017,2017/06/22,2017/07/24,32.05,,,2017/08/11,1.48,0.32,1.8,0,0,0,1.8,33.8,5.32
2015,2016,2016/06/21,2016/07/13,31.55,,,2016/08/05,2.2,0,2.2,0,0,0,2.2,33.8,6.52
2014,2015,2015/06/24,2015/07/23,37.3,,,2015/08/13,3.2,0,3.2,0,0,0,3.2,41.1,7.79
2013,2014,2014/06/19,2014/07/15,57.4,,,,3.2,0,3.2,0,0,0,3.2,51.4,6.23
2012,2013,2013/06/20,2013/07/11,39.7,,,,3,0,3,0,0,0,3,41,7.31
2011,2012,2012/06/18,2012/07/18,41.15,,,,3.2,0,3.2,0,0,0,3.2,43.6,7.34
2010,2011,2011/06/22,2011/07/14,50.4,,,,4.2,0,4.2,0,0,0,4.2,51.6,8.14
2009,2010,2010/06/15,2010/07/07,66,,,,4,0,4,0,0,0,4,71,5.63
2008,2009,2009/06/16,2009/08/04,63.6,,,,2.99,0,2.99,0,0,0,2.99,60.6,4.93
2007,2008,2008/06/19,2008/08/05,54.4,2008/08/05,54.4,,3.78,0,3.78,0.3,0,0.3,4.08,63.1,6.46
2006,2007,2007/06/15,2007/08/02,106,2007/08/02,106,,3.7,0,3.7,0.3,0,0.3,4,87.7,4.56
2005,2006,2006/06/15,2006/08/14,53,2006/08/14,53,,3,0,3,0.5,0,0.5,3.5,57.1,6.13
2004,2005,2005/06/14,2005/08/02,35.15,2005/08/02,35.15,,2,0,2,0.5,0,0.5,2.5,38.3,6.53
2003,2004,2004/06/18,2004/10/21,35.2,2004/10/21,35.2,,2.01,0,2.01,1.01,0,1.01,3.02,50,6.03
2002,2003,2003/06/18,2003/09/15,57.5,2003/09/15,57.5,,2,0,2,2,0,2,4,61.7,6.48
2001,2002,2002/05/29,2002/08/08,58.5,2002/08/08,58.5,,2,0,2,3.5,0,3.5,5.5,106.1,5.18
2000,2001,2001/04/30,2001/08/02,96,2001/08/02,96,,1.5,0,1.5,5.5,0,5.5,7,144.1,4.86
1999,2000,2000/06/15,,,2000/09/05,,,0,0,0,10,0,10,10,158.3,6.32
1998,1999,1999/04/10,,,1999/04/28,,,0,0,0,12.5,0,12.5,12.5,,
