盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,,2018/05/17,13.37,,,,0.44,0,0.44,0,0,0,0.44,13.6,3.21
2016,2017,,2017/05/18,14.5,,,,0.45,0,0.45,0,0,0,0.45,14.3,3.13
2015,2016,,2016/05/24,16.98,,,,0.47,0,0.47,0,0,0,0.47,16.8,2.77
2014,2015,,2015/05/21,18.38,,,,0.52,0,0.52,0,0,0,0.52,17.8,2.93
2013,2014,,2014/05/22,17.26,,,,0.51,0,0.51,0,0,0,0.51,18.2,2.79
2012,2013,,2013/05/22,20.5,,,,0.48,0,0.48,0,0,0,0.48,19.6,2.46
2011,2012,,2012/05/23,17.64,,,,0.47,0,0.47,0,0,0,0.47,16.5,2.82
2010,2011,,2011/05/25,11.97,,,,0.45,0,0.45,0,0,0,0.45,12.6,3.53
2009,2010,,2010/05/25,10.5,,,,0.44,0,0.44,0,0,0,0.44,11.1,4
2008,2009,,2009/05/21,10.47,,,,0.48,0,0.48,0,0,0,0.48,10.3,4.64
2007,2008,,2008/05/22,10.52,,,,0.44,0,0.44,0,0,0,0.44,10.1,4.33
2006,2007,,2007/05/29,10.63,,,,0.41,0,0.41,0,0,0,0.41,10.4,3.99
2005,2006,,2006/05/25,10.46,,,,0.12,0,0.12,0,0,0,0.12,10.4,1.12
