盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/26,2018/07/24(即將除息),,,,2018/08/14(即將發放),1.6,0,1.6,0,0,0,1.6,22.2,7.21
2016,2017,2017/06/01,2017/06/29,21.9,,,2017/07/21,2.2,0,2.2,0,0,0,2.2,21.9,10.05
2015,2016,2016/06/29,2016/08/05,15.95,,,2016/09/07,1,0,1,0,0,0,1,17.1,5.84
2014,2015,2015/06/11,,,,,,0,0,0,0,0,0,0,14.3,0
2013,2014,2014/06/18,2014/08/27,14.4,2014/08/27,14.4,2014/10/03,0.5,0,0.5,0.5,0,0.5,1,16.5,6.06
2012,2013,2013/06/25,,,,,,0,0,0,0,0,0,0,15.4,0
2011,2012,2012/06/28,,,,,,0,0,0,0,0,0,0,7.66,0
2010,2011,2011/06/24,,,,,,0,0,0,0,0,0,0,11.1,0
2009,2010,2010/06/23,2010/09/16,13.55,,,,0.6,0,0.6,0,0,0,0.6,14.9,4.04
2008,2009,2009/06/19,,,,,,0,0,0,0,0,0,0,11.6,0
2007,2008,2008/06/19,2008/09/16,7.74,2008/09/16,7.74,,0.3,0,0.3,0.3,0,0.3,0.6,11,5.44
2006,2007,2007/06/22,2007/09/05,15,2007/09/05,15,,0.4,0,0.4,0.4,0,0.4,0.8,15,5.32
2005,2006,2006/06/22,,,,,,0,0,0,0,0,0,0,13.9,0
2004,2005,2005/06/15,2005/08/18,16.25,2005/08/18,16.25,,0.4,0,0.4,0.6,0,0.6,1,18,5.57
2003,2004,2004/06/18,2004/07/08,23.7,,,,0.6,0,0.6,0,0,0,0.6,26.5,2.27
2002,2003,2003/06/24,2003/08/20,32.7,2003/08/20,32.7,,0.2,0,0.2,1,0,1,1.2,30.6,3.92
2001,2002,2002/06/03,,,,,,0,0,0,0,0,0,0,28,0
2000,2001,2001/07/23,2001/07/23,10.75,2001/07/23,10.75,,0.5,0,0.5,0.5,0,0.5,1,17.5,5.71
1999,2000,2000/05/24,,,,,,0.5,0,0.5,0.7,0,0.7,1.2,36.5,3.29
1998,1999,,,,,,,0,0,0,0,0,0,0,35,0
1997,1998,1998/05/14,,,,,,0,0,0,1,0,1,1,27.7,3.61
1996,1997,1997/05/23,1997/07/10,,,,,1,0,1,0,0,0,1,31.4,3.18
1995,1996,1996/04/18,,,1996/06/03,,,0,0,0,2.5,0,2.5,2.5,38.5,6.49
1994,1995,,,,,,,0,0,0,2,0,2,2,69.3,2.89
1993,1994,1994/05/11,,,,,,0,0,0,0,0,0,0,70.9,0
1992,1993,1993/05/11,,,,,,0,0,0,0,0,0,0,22,0
1991,1992,1992/03/23,,,,,,0,0,0,0,0,0,0,25.4,0
1990,1991,1991/04/16,,,1991/08/16,,,0,0,0,2.02,0,2.02,2.02,36.6,5.51
1989,1990,1990/05/31,,,1990/10/01,,,0,0,0,2,0,2,2,,
1988,1989,,,,,,,8,0,8,2,0,2,10,,
1987,1988,,,,,,,3,0,3,5,0,5,8,,
1986,1987,,,,,,,0,0,0,10,0,10,10,,
1985,1986,,,,,,,2,0,2,0,0,0,2,,
