盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/27,2018/08/24(即將除息),,,,2018/09/21(即將發放),6.2,0,6.2,0,0,0,6.2,88.3,7.02
2016,2017,2017/06/20,2017/08/25,65.2,,,2017/09/27,6,0,6,0,0,0,6,70.9,8.46
2015,2016,2016/06/23,2016/08/26,54.8,,,2016/09/30,2.08,0.76,2.83,0,0,0,2.83,53.1,5.34
2014,2015,2015/06/29,2015/09/14,43.45,2015/09/14,43.45,2015/10/15,4,0,4,0.5,0,0.5,4.5,57.2,7.87
2013,2014,2014/06/25,2014/09/12,76.7,2014/09/12,76.7,2014/10/16,6.5,0,6.5,0.5,0,0.5,7,78.4,8.93
2012,2013,2013/06/21,2013/08/08,114,,,,9.97,0,9.97,0,0,0,9.97,102.2,9.76
2011,2012,2012/06/06,2012/07/31,59.9,2012/07/31,59.9,,5.5,0,5.5,0.1,0,0.1,5.6,67.4,8.3
2010,2011,2011/06/17,2011/08/01,84.2,2011/08/01,84.2,,6.2,0,6.2,0.1,0,0.1,6.3,71.2,8.85
2009,2010,2010/06/25,2010/08/06,62.3,2010/08/06,62.3,,4,0,4,0.2,0,0.2,4.2,68,6.18
2008,2009,2009/06/19,2009/08/21,52.4,2009/08/21,52.4,,3.7,0,3.7,0.5,0,0.5,4.2,55.6,7.56
2007,2008,2008/06/19,2008/08/22,46,2008/08/22,46,,4.8,0,4.8,0.2,0,0.2,5,60.6,8.24
2006,2007,2007/06/15,2007/07/30,73.3,2007/07/30,73.3,,4,0,4,1,0,1,5,66.6,7.51
2005,2006,2006/06/14,2006/09/08,74.3,2006/09/08,74.3,,2.07,0,2.07,1.89,0,1.89,3.96,72.3,5.48
2004,2005,2005/05/06,2005/09/16,30.7,2005/09/16,30.7,,1.5,0,1.5,1.5,0,1.5,3,36.8,8.15
2003,2004,2004/06/11,2004/07/22,27.2,2004/07/22,27.2,,0.7,0,0.7,0.8,0,0.8,1.5,33.6,4.47
2002,2003,2003/06/24,2003/08/18,10.3,2003/08/18,10.3,,1,0,1,0.5,0,0.5,1.5,12.6,11.86
2001,2002,2002/06/26,2002/08/08,10.1,2002/08/08,10.1,,0.5,0,0.5,1,0,1,1.5,11.7,12.79
2000,2001,2001/04/25,,,2001/05/20,,,0.5,0,0.5,1,0,1,1.5,,
1999,2000,2000/06/23,,,2000/08/06,,,0,0,0,1,0,1,1,,
1998,1999,,,,,,,0,0,0,1,0,1,1,,
1997,1998,,,,,,,0,0,0,0,0,0,0,,
