盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/08,2018/07/17,82.6,,,2018/08/13(即將發放),4,0,4,0,0,0,4,81,4.94
2016,2017,2017/06/16,2017/07/14,67.8,,,2017/08/16,3.5,0.2,3.7,0,0,0,3.7,75.8,4.88
2015,2016,2016/06/17,2016/08/24,71.8,2016/08/24,71.8,2016/09/22,3.1,0,3.1,0,0.3,0.3,3.4,69.3,4.9
2014,2015,2015/06/11,2015/08/27,45.25,2015/08/27,45.25,2015/10/22,2.75,0,2.75,0,0.2,0.2,2.95,53.8,5.48
2013,2014,2014/06/12,2014/08/21,44.5,,,2014/09/19,2.2,0.3,2.5,0,0,0,2.5,43.1,5.8
2012,2013,2013/06/10,2013/08/29,30.3,,,,1.7,0.3,2,0,0,0,2,30.5,6.55
2011,2012,2012/06/15,2012/07/24,21.95,,,,1.69,0,1.69,0,0,0,1.69,24.1,7
2010,2011,2011/06/10,2011/07/12,22,,,,1.7,0,1.7,0,0,0,1.7,21.3,7.99
2009,2010,2010/06/17,2010/07/22,23.15,,,,1,0,1,0,0,0,1,23.5,4.25
2008,2009,2009/06/10,2009/07/16,16.55,,,,1.1,0,1.1,0,0,0,1.1,15.9,6.94
2007,2008,2008/06/13,2008/08/06,15,2008/08/06,15,,1.01,0,1.01,0.5,0,0.5,1.51,18.8,8.03
2006,2007,2007/06/15,2007/07/31,33.2,2007/07/31,33.2,,2.3,0,2.3,1,0.2,1.2,3.5,36.7,9.53
2005,2006,2006/06/09,2006/08/09,31.6,2006/08/09,31.6,,2.8,0,2.8,0,0.5,0.5,3.3,35.4,9.31
2004,2005,2005/05/06,2005/06/03,29.3,2005/06/03,29.3,,0.55,0,0.55,2.35,0.2,2.55,3.1,30.9,10.02
2003,2004,2004/05/06,2004/06/09,34.5,2004/06/09,34.5,,2,0,2,0.5,0,0.5,2.5,31.8,7.85
2002,2003,2003/06/03,2003/07/03,31.1,2003/07/03,31.1,,1.5,0,1.5,0.2,0.8,1,2.5,33,7.58
2001,2002,2002/06/18,2002/08/05,39.96,2002/08/05,39.96,,0.5,0,0.5,2,0,2,2.5,55.5,4.5
2000,2001,,,,,,,0.4,0,0.4,2,0,2,2.4,45.6,5.26
1999,2000,2000/06/12,,,,,,0.3,0,0.3,1.1,0.4,1.5,1.8,,
1998,1999,1999/06/05,,,,,,0,0,0,1,1,2,2,,
