盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/05/23,,,,,,0,0,0,0,0,0,0,9.59,0
2016,2017,2017/05/17,,,,,,0,0,0,0,0,0,0,7.7,0
2015,2016,2016/05/24,,,,,,0,0,0,0,0,0,0,7.9,0
2014,2015,2015/06/02,,,,,,0,0,0,0,0,0,0,7.65,0
2013,2014,2014/06/12,,,,,,0,0,0,0,0,0,0,5.76,0
2012,2013,2013/06/20,,,,,,0,0,0,0,0,0,0,3.31,0
2011,2012,2012/06/12,,,,,,0,0,0,0,0,0,0,3.09,0
2010,2011,2011/06/15,,,,,,0,0,0,0,0,0,0,4.53,0
2009,2010,2010/06/15,,,,,,0,0,0,0,0,0,0,5.02,0
2008,2009,2009/06/10,,,,,,0,0,0,0,0,0,0,3.83,0
2007,2008,,,,,,,0,0,0,0,0,0,0,3.85,0
2006,2007,2007/06/13,,,,,,0,0,0,0,0,0,0,5.65,0
2005,2006,2006/06/14,,,,,,0,0,0,0,0,0,0,3.87,0
2004,2005,2005/06/14,,,,,,0,0,0,0,0,0,0,5.08,0
2003,2004,2004/05/31,,,,,,0,0,0,0,0,0,0,7.55,0
2002,2003,2003/06/18,,,,,,0,0,0,0,0,0,0,10.4,0
2001,2002,2002/06/24,,,,,,0,0,0,0,0,0,0,10.6,0
2000,2001,2001/05/29,,,,,,0,0,0,0,0,0,0,7.89,0
1999,2000,2000/05/26,,,,,,0,0,0,0,0,0,0,12.6,0
1998,1999,,,,,,,0,0,0,0,0,0,0,17,0
1997,1998,1998/04/23,,,1998/05/22,37.23,,0,0,0,2,0,2,2,35,5.72
1996,1997,1997/05/22,,,1997/06/11,68.02,,0,0,0,2,0,2,2,59.5,3.36
1995,1996,1996/04/10,,,1996/05/11,29.43,,0,0,0,1.25,0.75,2,2,35.1,5.7
1994,1995,1995/03/30,,,1995/06/08,39.6,,0,0,0,0.5,0.5,1,1,37.3,2.68
1993,1994,1994/04/01,1994/05/05,38.07,1994/05/05,38.07,,0.5,0,0.5,0.5,0.5,1,1.5,42.5,3.53
1992,1993,1993/05/25,,,1993/07/05,30.9,,0,0,0,0.4,0.6,1,1,36.9,2.71
1991,1992,1992/03/25,,,1992/05/05,55,,0,0,0,1.5,0.5,2,2,47.1,4.25
1990,1991,1991/03/26,,,1991/05/18,105.5,,0,0,0,2.3,1.2,3.5,3.5,79.5,4.4
1989,1990,1990/03/15,,,1990/05/31,100,,0,0,0,1,1,2,2,,
1988,1989,1989/03/25,1989/04/25,,1989/09/26,,,1.5,0,1.5,3,0,3,4.5,,
1987,1988,,,,,,,0,0,0,7.86,0,7.86,7.86,,
1986,1987,,,,,,,4.16,0,4.16,14.8,0,14.8,18.96,,
1985,1986,,,,,,,1.25,0,1.25,0.75,0,0.75,2,,
1984,1985,,,,,,,0,0,0,1,0,1,1,,
1983,1984,,,,,,,0,0,0,10,0,10,10,,
