盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/05/29,,,,,,0,0,0,0,0,0,0,23.2,0
2016,2017,2017/06/13,,,,,,0,0,0,0,0,0,0,27.7,0
2015,2016,2016/05/27,,,,,,0,0,0,0,0,0,0,32.8,0
2014,2015,2015/06/03,,,,,,0,0,0,0,0,0,0,26.2,0
2013,2014,2014/06/12,,,,,,0,0,0,0,0,0,0,37.6,0
2012,2013,2013/06/17,,,,,,0,0,0,0,0,0,0,44.2,0
2011,2012,2012/06/06,,,,,,0,0,0,0,0,0,0,43.1,0
2010,2011,2011/06/10,,,,,,0,0,0,0,0,0,0,43.9,0
2009,2010,2010/06/15,,,,,,0,0,0,0,0,0,0,47.1,0
2008,2009,2009/06/16,,,,,,0,0,0,0,0,0,0,46.6,0
2007,2008,2008/06/19,,,,,,0,0,0,0,0,0,0,42.4,0
2006,2007,2007/06/15,,,,,,0,0,0,0,0,0,0,50.5,0
2005,2006,2006/06/09,,,,,,0,0,0,0,0,0,0,22.7,0
2004,2005,2005/05/25,,,,,,0,0,0,0,0,0,0,30.9,0
2003,2004,2004/06/15,,,,,,0,0,0,0,0,0,0,23.6,0
2002,2003,2003/05/05,,,,,,0,0,0,0,0,0,0,22.9,0
2001,2002,2002/05/20,,,,,,0,0,0,0,0,0,0,32.2,0
2000,2001,2001/06/14,,,,,,0,0,0,0,0,0,0,,
1999,2000,2000/03/01,,,,,,0,0,0,0,0,0,0,,
1998,1999,,,,,,,0,0,0,0,0,0,0,,
