盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/21,,,,,,1.5,0,1.5,0.8,0,0.8,2.3,28.9,7.95
2016,2017,2017/06/16,2017/08/03,27.75,2017/08/03,27.75,2017/09/08,1.6,0,1.6,1,0,1,2.6,27.9,9.32
2015,2016,2016/06/17,2016/08/04,24.05,2016/08/04,24.05,2016/09/09,1.1,0,1.1,2,0,2,3.1,26.5,11.7
2014,2015,2015/06/29,2015/07/30,29.75,2015/07/30,29.75,2015/09/04,1,0,1,2,0,2,3,30.7,9.77
2013,2014,2014/06/20,2014/07/31,34.1,2014/07/31,34.1,2014/09/05,0.3,0,0.3,2.7,0,2.7,3,36.3,8.26
2012,2013,2013/06/26,2013/08/01,26.4,2013/08/01,26.4,,0,0.15,0.15,0.7,0.65,1.35,1.5,26.6,5.64
2011,2012,2012/06/20,2012/07/26,18,2012/07/26,18,,0.14,0,0.14,1.26,0,1.26,1.4,19.5,7.16
2010,2011,2011/06/21,2011/09/28,19.5,2011/09/28,19.5,,0.13,0,0.13,1.17,0,1.17,1.3,21.6,6.01
2009,2010,2010/06/22,2010/09/09,21.9,2010/09/09,21.9,,0.04,0,0.04,0.27,0,0.27,0.31,24.2,1.28
2008,2009,2009/06/16,,,,,,0,0,0,0,0,0,0,23.1,0
2007,2008,2008/06/25,,,,,,0,0,0,0,0,0,0,19.1,0
2006,2007,2007/06/28,,,,,,0,0,0,0,0,0,0,5.07,0
2005,2006,2006/06/09,,,,,,0,0,0,0,0,0,0,4.46,0
2004,2005,2005/06/27,,,,,,0,0,0,0,0,0,0,8.87,0
2003,2004,2004/06/16,,,,,,0,0,0,0,0,0,0,19.3,0
2002,2003,2003/06/30,,,,,,0,0,0,0,0,0,0,3.38,0
2001,2002,2002/06/27,,,,,,0,0,0,0,0,0,0,2.16,0
2000,2001,2001/05/07,,,,,,0,0,0,0,0,0,0,2.06,0
1999,2000,2000/06/22,,,,,,0,0,0,0,0,0,0,3.97,0
1998,1999,,,,,,,0,0,0,0.5,0.5,1,1,8.74,11.44
1997,1998,1998/03/17,,,1998/04/09,,,0,0,0,1.5,1.5,3,3,44.1,6.8
1996,1997,1997/04/29,,,1997/05/19,,,0,0,0,1.3,0,1.3,1.3,56.1,2.32
1995,1996,1996/04/30,,,1996/07/25,,,0,0,0,1.2,0,1.2,1.2,,
1994,1995,,,,,,,0,0,0,1.25,0,1.25,1.25,,
1993,1994,,,,,,,0,0,0,0,0,0,0,,
1992,1993,,,,,,,0,0,0,0,0,0,0,,
