盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/12,,,,,,0,0,0,0,0,0,0,17,0
2016,2017,2017/06/13,,,,,,0,0,0,0,0,0,0,18,0
2015,2016,2016/06/21,2016/08/09,16.2,,,2016/09/08,0.59,0,0.59,0,0,0,0.59,16.2,3.65
2014,2015,2015/06/18,2015/08/11,17.65,,,2015/09/11,0,1.27,1.27,0,0,0,1.27,20.8,6.11
2013,2014,2014/06/17,2014/07/29,32.25,2014/07/29,32.25,2014/09/10,1,0,1,0.07,0,0.07,1.07,30.4,3.52
2012,2013,2013/06/11,2013/07/31,46.45,2013/07/31,46.45,,3.4,0,3.4,0.1,0,0.1,3.5,46.3,7.56
2011,2012,2012/06/22,2012/08/06,54.3,2012/08/06,54.3,,5.1,0,5.1,0.1,0,0.1,5.2,62.2,8.36
2010,2011,2011/06/10,2011/07/29,63.2,2011/07/29,63.2,,6.15,0,6.15,0.1,0,0.1,6.25,75.9,8.23
2009,2010,2010/06/14,2010/08/10,93.7,2010/08/10,93.7,,4.4,0,4.4,0.1,0,0.1,4.5,97.2,4.63
2008,2009,2009/06/19,2009/08/13,72.6,2009/08/13,72.6,,2.85,0,2.85,0.1,0,0.1,2.95,75.2,3.92
2007,2008,2008/06/19,2008/08/07,83.1,2008/08/07,83.1,,4.35,0,4.35,1.08,0,1.08,5.43,83.6,6.5
2006,2007,2007/06/11,2007/08/14,116.5,2007/08/14,116.5,,3.74,0,3.74,0.93,0,0.93,4.67,144.1,3.24
2005,2006,2006/06/23,2006/08/22,172.5,2006/08/22,172.5,,3.67,0,3.67,1.58,0,1.58,5.25,172.9,3.04
2004,2005,2005/06/16,2005/07/27,112.5,2005/07/27,112.5,,3.2,0,3.2,2,0,2,5.2,111.5,4.66
2003,2004,2004/05/05,2004/07/15,57,2004/07/15,57,,1.5,0,1.5,1.5,0,1.5,3,76.2,3.94
