盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/05/30,2018/06/15,28.75,,,2018/07/06,0.5,0,0.5,0,0,0,0.5,29.1,1.72
2016,2017,2017/06/14,2017/07/04,27.2,,,2017/08/08,0.5,0,0.5,0,0,0,0.5,28.9,1.73
2015,2016,2016/06/28,2016/09/27,,,,2016/10/07,0.2,0,0.2,0,0,0,0.2,23.8,0.84
2014,2015,2015/05/12,2015/06/15,27.75,,,2015/07/07,1.3,0,1.3,0,0,0,1.3,27.7,4.69
2013,2014,2014/06/16,2014/07/17,33.8,,,,1.5,0,1.5,0,0,0,1.5,35.7,4.21
2012,2013,2013/06/24,2013/07/19,31.7,,,,1,0,1,0,0,0,1,36.2,2.76
2011,2012,2012/06/22,2012/07/12,35.1,,,,2,0,2,0,0,0,2,38.6,5.19
2010,2011,2011/06/09,2011/07/12,46.6,,,,3.2,0,3.2,0,0,0,3.2,52,6.16
2009,2010,2010/04/16,2010/07/14,69.7,,,,6,0,6,0,0,0,6,74.6,8.05
2008,2009,2009/05/27,2009/07/16,88.8,,,,6.8,0,6.8,0,0,0,6.8,81,8.4
2007,2008,2008/06/24,2008/07/11,84,,,,6,0,6,0,0,0,6,82,7.32
2006,2007,2007/06/28,2007/09/07,111,2007/09/07,111,,2,0,2,1,0,1,3,76.1,3.94
2005,2006,2006/06/14,2006/07/31,24.1,2006/07/31,24.1,,1,0,1,1,0,1,2,26.5,7.55
2004,2005,2005/06/24,2005/07/14,20.8,2005/08/17,19.05,,0.5,0,0.5,0.5,0,0.5,1,20,4.99
2003,2004,2004/05/27,2004/06/16,11.45,,,,1,0,1,0,0,0,1,13.5,7.42
2002,2003,2003/06/24,2003/07/31,7.5,,,,0.1,0,0.1,0,0,0,0.1,8.54,1.17
2001,2002,2002/06/11,,,,,,0,0,0,0,0,0,0,7.12,0
2000,2001,2001/06/07,2001/07/05,6.4,,,,0.96,0,0.96,0,0,0,0.96,6.73,14.26
1999,2000,2000/06/21,2000/07/11,10.8,2000/08/17,9.9,,0.5,0,0.5,0.5,0.5,1,1.5,10.5,14.25
1998,1999,1999/05/28,1999/07/22,14.2,1999/07/22,12.7,,0.9,0,0.9,1.1,0,1.1,2,15.9,12.55
1997,1998,1998/05/14,,,1998/07/22,24.6,,0,0,0,1.7,0.9,2.6,2.6,27.6,9.42
1996,1997,1997/05/21,,,1997/07/09,27.4,,0,0,0,1.2,0,1.2,1.2,28.8,4.16
1995,1996,1996/06/17,,,1996/09/04,25.1,,0,0,0,1.9,0.6,2.5,2.5,28.3,8.82
1994,1995,,,,,,,0,0,0,1,1.4,2.4,2.4,41.2,5.83
1993,1994,,,,,,,1.5,0,1.5,0,1,1,2.5,50.2,4.98
1992,1993,,,,,,,1,0,1,1.5,0,1.5,2.5,,
