盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/05/17,,,,,,0,0,0,0,0,0,0,15.8,0
2016,2017,2017/06/30,,,,,,0,0,0,0,0,0,0,19.1,0
2015,2016,2016/06/17,,,,,,0,0,0,0,0,0,0,20.3,0
2014,2015,2015/05/28,,,2015/09/07,16.5,,0,0,0,0.42,0,0.42,0.42,17.1,2.45
2013,2014,2014/06/27,,,2014/04/01,21.2,,0,0,0,0.6,0,0.6,0.6,17.4,3.45
2012,2013,2013/06/20,,,2013/08/16,11.7,,0,0,0,0.49,0,0.49,0.49,12.3,3.98
2011,2012,2012/06/19,,,,,,0,0,0,0,0,0,0,8.35,0
2010,2011,2011/06/22,,,,,,0,0,0,0,0,0,0,10.7,0
2009,2010,2010/06/25,,,,,,0,0,0,0,0,0,0,5.56,0
2008,2009,2009/06/16,,,,,,0,0,0,0,0,0,0,3,0
2007,2008,2008/10/22,,,,,,0,0,0,0,0,0,0,3.69,0
2006,2007,2007/06/21,,,,,,0,0,0,0,0,0,0,6.61,0
2005,2006,2006/06/30,,,2006/08/16,6.56,,0,0,0,0.2,0,0.2,0.2,6.82,2.93
2004,2005,2005/06/23,2005/08/09,9.06,2005/08/09,9.06,,0.3,0,0.3,0.5,0.2,0.7,1,9.27,10.79
2003,2004,2004/05/27,2004/07/13,11,2004/07/13,11,,0.3,0,0.3,0.5,0.3,0.8,1.1,13,8.44
2002,2003,2003/05/27,,,2003/07/25,11.3,,0,0,0,0.6,0.6,1.2,1.2,13.3,9
2001,2002,2002/06/18,,,2002/08/16,13.8,,0,0,0,0.5,0.5,1,1,16.1,6.22
2000,2001,2001/06/15,,,2001/08/31,11.55,,0,0,0,0.4,0.6,1,1,16.1,6.21
1999,2000,2000/04/27,,,2000/07/06,,,0,0,0,2,0,2,2,30.5,6.55
1998,1999,1999/06/26,,,,,,0,0,0,2,0,2,2,34.4,5.82
1997,1998,1998/05/20,,,,,,0,0,0,0.8,0.4,1.2,1.2,,
1996,1997,1997/05/29,,,,,,0,0,0,0,0,0,0,,
1995,1996,1996/06/11,,,,,,0,0,0,0,0,0,0,,
