盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/14,,,,,,0,0,0,0,0,0,0,15.1,0
2016,2017,2017/06/14,2017/08/22,18.35,,,2017/09/08,1.2,0,1.2,0,0,0,1.2,18.7,6.42
2015,2016,2016/06/07,2016/06/24,11.7,,,2016/07/20,0.1,0,0.1,0,0,0,0.1,12.8,0.78
2014,2015,2015/05/28,2015/06/18,16.45,,,2015/07/15,0.3,0,0.3,0,0,0,0.3,17.4,1.73
2013,2014,2014/06/19,,,,,,0,0,0,0,0,0,0,22.5,0
2012,2013,2013/06/28,2013/07/17,21.2,,,,0.73,0,0.73,0,0,0,0.73,19,3.83
2011,2012,2012/06/18,,,,,,0,0,0,0,0,0,0,22.2,0
2010,2011,2011/05/30,2011/06/30,41.75,,,,1,0,1,0,0,0,1,34.5,2.9
2009,2010,2010/05/26,2010/06/30,39.85,,,,2.3,0,2.3,0,0,0,2.3,40,5.74
2008,2009,2009/05/22,2009/06/23,23.6,,,,1,0,1,0,0,0,1,24.6,4.06
2007,2008,2008/06/13,2008/09/12,21.6,2008/09/12,21.6,,3.5,0,3.5,0.5,0,0.5,4,33.3,12.03
2006,2007,2007/06/15,2007/08/28,74.92,2007/08/28,74.92,,2.88,0,2.88,0.96,0,0.96,3.84,65,5.9
2005,2006,2006/06/14,2006/09/14,41.73,2006/09/14,41.73,,3.29,0,3.29,1.1,0,1.1,4.39,47.5,9.24
2004,2005,2005/06/23,2005/08/02,58.98,2005/08/02,58.98,,3,0,3,2,0,2,5,59.4,8.42
2003,2004,2004/06/18,,,2004/09/02,,,0,0,0,3,0,3,3,,
2002,2003,2003/06/20,2003/08/26,,2003/08/20,,,0.2,0,0.2,1,0,1,1.2,,
