盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/26,2018/07/19(即將除息),,,,2018/08/23(即將發放),0.5,0,0.5,0,0,0,0.5,11.2,4.48
2016,2017,2017/06/19,2017/07/13,9.75,,,2017/08/18,0.35,0,0.35,0,0,0,0.35,10.6,3.31
2015,2016,2016/06/24,2016/07/19,9.16,,,2016/08/19,0.6,0,0.6,0,0,0,0.6,9.32,6.44
2014,2015,2015/06/23,2015/07/16,9.07,,,2015/08/14,0.1,0,0.1,0,0,0,0.1,9.43,1.06
2013,2014,2014/06/19,,,,,,0,0,0,0,0,0,0,9.06,0
2012,2013,2013/06/25,,,,,,0,0,0,0,0,0,0,9.59,0
2011,2012,2012/06/27,,,,,,0,0,0,0,0,0,0,9.94,0
2010,2011,2011/06/22,2011/08/25,11.2,2011/08/25,11.2,,1,0,1,0.3,0,0.3,1.3,13.5,9.64
2009,2010,2010/06/14,,,,,,0,0,0,0,0,0,0,15.2,0
2008,2009,2009/06/16,2009/09/02,12.45,,,,0.15,0,0.15,0,0,0,0.15,11.7,1.28
2007,2008,2008/06/13,2008/07/08,21.55,,,,1.1,0,1.1,0,0,0,1.1,17,6.48
2006,2007,2007/06/13,2007/07/06,16.6,,,,0.6,0,0.6,0,0,0,0.6,18.2,3.3
2005,2006,2006/06/06,2006/06/27,13.45,,,,0.9,0,0.9,0,0,0,0.9,14.5,6.22
2004,2005,2005/05/26,2005/06/16,11.7,,,,0.7,0,0.7,0,0,0,0.7,12.5,5.59
2003,2004,2004/05/27,2004/06/21,14.8,2004/08/18,14.15,,0.5,0,0.5,0.5,0,0.5,1,17.4,5.74
2002,2003,2003/05/27,2003/06/13,14.1,2003/08/19,16.3,,0.12,0,0.12,0.12,0,0.12,0.24,15.9,1.51
2001,2002,2002/05/14,,,,,,0,0,0,0,0,0,0,10.2,0
2000,2001,2001/05/15,,,,,,0.5,0,0.5,0.7,0,0.7,1.2,9.03,13.29
1999,2000,,,,,,,0,0,0,0.16,0.14,0.3,0.3,23.3,1.29
1998,1999,1999/04/29,,,,,,0,0,0,0,0,0,0,20.6,0
1997,1998,1998/05/14,,,1998/08/18,,,0,0,0,0,0.3,0.3,0.3,17.6,1.71
1996,1997,1997/05/08,,,1997/08/13,,,0,0,0,0,0.7,0.7,0.7,23.9,2.93
1995,1996,1996/03/27,1996/04/25,30.2,1996/06/01,25.72,,0.5,0,0.5,0.8,0.2,1,1.5,25.8,5.81
1994,1995,1995/03/27,,,,,,0,0,0,0,0,0,0,42.5,0
1993,1994,,,,,,,0,0,0,0,0,0,0,39.5,0
1992,1993,1993/03/31,,,,,,0,0,0,0,0,0,0,16.2,0
1991,1992,1992/03/28,,,,,,0,0,0,0,0,0,0,26.7,0
1990,1991,1991/03/28,,,1991/07/13,31.14,,0,0,0,0.5,0,0.5,0.5,29,1.72
1989,1990,1990/03/23,1990/02/22,80.5,1990/07/14,38.86,,1.3,0,1.3,1.5,0,1.5,2.8,,
1988,1989,,,,,,,1.5,0,1.5,1.5,0,1.5,3,,
1987,1988,,,,,,,1.5,0,1.5,1.5,0,1.5,3,,
1986,1987,,,,,,,0.6,0,0.6,0.6,0,0.6,1.2,,
1984,1985,,,,,,,1.5,0,1.5,1.5,0,1.5,3,,
1983,1984,,,,,,,0.8,0,0.8,0.8,0,0.8,1.6,,
