盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/08,2018/07/12,16.4,,,2018/08/17(即將發放),0.7,0,0.7,0,0,0,0.7,16.8,4.16
2016,2017,2017/06/16,2017/07/13,14.2,,,2017/08/17,0.5,0,0.5,0,0,0,0.5,15.9,3.14
2015,2016,2016/06/06,2016/07/07,10.9,,,2016/08/10,0.6,0,0.6,0,0,0,0.6,11.5,5.22
2014,2015,2015/06/10,2015/07/13,11.55,,,2015/08/14,0.35,0,0.35,0,0,0,0.35,12.1,2.9
2013,2014,2014/06/12,2014/07/14,12.35,,,,0.6,0,0.6,0,0,0,0.6,13.2,4.54
2012,2013,2013/06/14,2013/07/15,12.8,,,,0.6,0,0.6,0,0,0,0.6,13.3,4.5
2011,2012,2012/06/15,2012/07/17,10.9,,,,0.3,0,0.3,0,0,0,0.3,11.6,2.58
2010,2011,2011/06/10,2011/07/26,12.8,2011/07/26,12.8,,0.6,0,0.6,0.4,0,0.4,1,12.9,7.74
2009,2010,2010/06/11,2010/07/16,11.75,,,,0.7,0,0.7,0,0,0,0.7,12.7,5.51
2008,2009,2009/06/19,,,,,,0,0,0,0,0,0,0,9.6,0
2007,2008,2008/06/13,2008/07/10,9.7,,,,0.4,0,0.4,0,0,0,0.4,9.87,4.05
2006,2007,2007/06/13,2007/07/10,13.4,,,,0.7,0,0.7,0,0,0,0.7,12.8,5.48
2005,2006,2006/05/26,2006/06/21,9.55,,,,0.5,0,0.5,0,0,0,0.5,10.7,4.66
2004,2005,2005/05/20,2005/06/17,9.9,,,,0.7,0,0.7,0,0,0,0.7,9.79,7.15
2003,2004,2004/05/21,2004/06/25,11,2004/06/25,11,,0.3,0,0.3,0.3,0,0.3,0.6,12.5,4.81
2002,2003,2003/05/23,2003/06/30,8.95,,,,0.3,0,0.3,0,0,0,0.3,10.3,2.91
2001,2002,2002/05/23,,,,,,0,0,0,0,0,0,0,7.33,0
2000,2001,2001/04/27,2001/06/11,5.75,2001/10/12,4.01,,0.3,0,0.3,0.4,0,0.4,0.7,5.84,12.06
1999,2000,,,,,,,0,0,0,0.7,0.3,1,1,11.5,8.72
1998,1999,1999/04/20,,,,,,0,0,0,0,0,0,0,13.8,0
1997,1998,1998/04/21,,,,,,0,0,0,0.2,0.3,0.5,0.5,13.7,3.66
1996,1997,1997/04/30,,,1997/06/03,18.2,,0,0,0,0.3,0.2,0.5,0.5,19,2.63
1995,1996,1996/03/27,,,1996/05/08,19.79,,0,0,0,0.9,0.1,1,1,20,5.01
1994,1995,1995/04/01,,,1995/05/17,32.14,,0,0,0,1.8,0.2,2,2,30.4,6.58
1993,1994,1994/03/23,,,1994/05/21,35.3,,0,0,0,0.5,0.4,0.9,0.9,37.8,2.38
1992,1993,1993/03/26,,,1993/05/22,,,0,0,0,0,0.2,0.2,0.2,18.8,1.06
1991,1992,1992/03/25,,,1992/10/09,19.33,,0,0,0,0.2,0.6,0.8,0.8,23.5,3.4
1990,1991,1991/03/18,,,1991/09/21,26.78,,0,0,0,0,0.5,0.5,0.5,28.2,1.77
1989,1990,1990/03/23,,,1990/08/11,27.33,,0,0,0,1,0.9,1.9,1.9,,
1988,1989,,,,,,,0,0,0,0.4,0.1,0.5,0.5,,
1987,1988,,,,,,,0,0,0,3.4,0,3.4,3.4,,
1986,1987,,,,,,,0.4,0,0.4,1.9,0.1,2,2.4,,
1985,1986,,,,,,,0.6,0,0.6,0.9,0.1,1,1.6,,
1984,1985,,,,,,,0,0,0,2,0.2,2.2,2.2,,
1983,1984,,,,,,,0.6,0,0.6,0.6,0.3,0.9,1.5,,
