盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/20,,,,,,0,0,0,0,0,0,0,7.73,0
2016,2017,2017/06/16,2017/08/24,8.19,,,2017/09/15,0.56,0,0.56,0,0,0,0.56,8.05,6.96
2015,2016,2016/06/17,,,,,,0,0,0,0,0,0,0,5.82,0
2014,2015,2015/06/12,,,,,,0,0,0,0,0,0,0,5.48,0
2013,2014,2014/06/19,2014/08/26,7.86,,,2014/09/24,0.4,0,0.4,0,0,0,0.4,8.43,4.74
2012,2013,2013/06/21,2013/08/09,8.87,,,,0.55,0,0.55,0,0,0,0.55,8.97,6.13
2011,2012,2012/06/18,,,,,,0,0,0,0,0,0,0,7.93,0
2010,2011,2011/06/10,2011/08/16,9,2011/08/16,9,,0.1,0,0.1,0.6,0,0.6,0.7,11.1,6.32
2009,2010,2010/06/17,2010/08/26,15.55,2010/08/26,15.55,,0.12,0,0.12,1.03,0.27,1.3,1.42,16.7,8.52
2008,2009,2009/06/19,2009/08/19,14.65,2009/08/19,14.65,,0.1,0,0.1,0.3,0,0.3,0.4,14.5,2.76
2007,2008,2008/06/13,2008/08/26,14.85,2008/08/26,14.85,,0.2,0,0.2,1.64,0.2,1.84,2.04,17.6,11.62
2006,2007,2007/06/21,2007/08/15,33.1,2007/08/15,33.1,,1,0,1,0.4,0.2,0.6,1.6,34.6,4.62
2005,2006,2006/06/14,2006/10/04,20.75,2006/10/04,20.75,,2.73,0,2.73,1,0,1,3.73,28.9,12.89
2004,2005,2005/05/13,2005/07/28,41.75,2005/07/28,41.75,,0.2,0,0.2,1.63,0,1.63,1.83,38.3,4.78
2003,2004,2004/05/11,2004/09/20,24.7,,,,2,0,2,0,0,0,2,27,7.41
2002,2003,2003/05/26,2003/08/13,25.2,2003/08/13,25.2,,0.8,0,0.8,1.8,0,1.8,2.6,28.5,9.13
2001,2002,2002/06/10,2002/08/01,40.6,2002/08/01,40.6,,0.6,0,0.6,3,0,3,3.6,52.5,6.85
2000,2001,2001/06/08,,,,,,0,0,0,1.5,0,1.5,1.5,,
1999,2000,2000/03/23,,,,,,0,0,0,1.5,0,1.5,1.5,,
