盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/05,2018/06/22,11.4,,,2018/07/25,0.4,0,0.4,0,0,0,0.4,11.3,3.55
2016,2017,2017/06/08,2017/06/26,13.5,,,2017/07/26,0.85,0,0.85,0,0,0,0.85,13.7,6.21
2015,2016,2016/06/08,2016/07/27,12.2,,,2016/08/25,0.54,0,0.54,0,0,0,0.54,11.6,4.64
2014,2015,2015/06/10,2015/07/02,12.4,,,2015/07/29,0.85,0,0.85,0,0,0,0.85,12.6,6.72
2013,2014,2014/06/12,2014/07/08,19.2,,,,1,0,1,0,0,0,1,19.1,5.25
2012,2013,2013/06/13,2013/07/17,15.3,,,,0.25,0.05,0.3,0,0,0,0.3,16.3,1.84
2011,2012,2012/06/19,2012/07/26,10.6,,,,0.04,0.46,0.5,0,0,0,0.5,13.2,3.8
2010,2011,2011/06/22,2011/08/25,15.7,2011/08/25,15.7,,0.49,0,0.49,0.39,0,0.39,0.89,21.7,4.08
2009,2010,2010/06/18,2010/08/17,24.65,2010/08/17,24.65,,0.5,0,0.5,0.35,0,0.35,0.85,24.9,3.39
2008,2009,2009/06/10,2009/07/08,20.35,,,,0.85,0,0.85,0,0,0,0.85,20.4,4.17
2007,2008,2008/06/13,2008/07/24,17.22,2008/07/24,17.22,,0.4,0,0.4,1,0,1,1.4,18.5,7.56
2006,2007,2007/06/13,2007/07/30,48.52,2007/07/30,48.52,,0.79,0,0.79,0.31,0.18,0.49,1.28,32.3,3.96
2005,2006,2006/06/09,2006/08/04,14.64,2006/08/04,14.64,,0.58,0,0.58,0,0.19,0.19,0.77,15.1,5.08
2004,2005,2005/06/14,2005/07/15,10.7,,,,0.4,0,0.4,0,0,0,0.4,10,4
2003,2004,2004/06/15,2004/08/11,10.15,2004/08/11,10.15,,0.27,0,0.27,0.24,0.14,0.38,0.66,12.6,5.22
2002,2003,2003/06/12,2003/09/09,10.35,2003/09/09,10.35,,0.3,0,0.3,0.4,0.1,0.5,0.8,12.6,6.33
2001,2002,2002/06/17,2002/08/08,14.7,2002/08/08,14.7,,0.2,0,0.2,0.65,0.15,0.8,1,19.2,5.21
2000,2001,2001/05/25,,,2001/08/11,,,0,0,0,0.85,0.15,1,1,,
1999,2000,2000/06/24,,,,,,0,0,0,0,0,0,0,,
1998,1999,,,,,,,0,0,0,0.85,0.15,1,1,,
