盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/20,2018/07/05,22.25,,,2018/07/31,0.5,0,0.5,0,0,0,0.5,24.3,2.06
2016,2017,2017/06/16,2017/07/13,17.9,,,2017/08/09,0,0.3,0.3,0,0,0,0.3,16.9,1.78
2015,2016,2016/06/22,2016/07/20,8.91,,,2016/08/15,0,0.3,0.3,0,0,0,0.3,9.03,3.32
2014,2015,2015/06/22,2015/07/07,9.75,,,2015/08/03,0.2,0.1,0.3,0,0,0,0.3,10.4,2.89
2013,2014,2014/06/18,2014/07/09,12.5,,,,0.8,0,0.8,0,0,0,0.8,12.1,6.63
2012,2013,2013/06/17,2013/07/02,10.55,,,,0.5,0,0.5,0,0,0,0.5,10.9,4.57
2011,2012,2012/06/15,2012/07/04,12.45,,,,0.8,0,0.8,0,0,0,0.8,13.2,6.08
2010,2011,2011/06/15,2011/07/13,17.6,,,,1,0,1,0,0,0,1,19.4,5.16
2009,2010,2010/06/14,2010/08/04,23.45,,,,0.8,0,0.8,0,0,0,0.8,22.5,3.55
2008,2009,2009/06/10,2009/07/20,14.85,,,,1.08,0,1.08,0,0,0,1.08,17.3,6.26
2007,2008,2008/06/13,2008/09/17,18.35,2008/09/17,18.35,,2.1,0,2.1,0.54,0,0.54,2.64,26.6,9.92
2006,2007,2007/06/15,2007/08/28,42.9,2007/08/28,42.9,,1.53,0,1.53,1.02,0,1.02,2.56,44.9,5.69
2005,2006,2006/06/14,2006/08/14,25.9,2006/08/14,25.9,,0.21,0,0.21,1.31,0.51,1.82,2.03,29.6,6.86
2004,2005,2005/06/14,2005/08/12,27.95,2005/08/12,27.95,,0.8,0,0.8,1.02,0,1.02,1.82,26.4,6.89
2003,2004,2004/05/18,,,2004/07/15,32.3,,0,0,0,3.08,0.5,3.58,3.58,42.5,8.42
2002,2003,2003/04/28,2003/06/13,41.7,2003/06/13,41.7,,0.3,0,0.3,2.2,0,2.2,2.5,48.2,5.18
2001,2002,2002/06/18,2002/11/12,50,2002/11/12,50,,0.2,0,0.2,3.3,0,3.3,3.5,69,5.07
2000,2001,2001/04/27,,,,,,0.2,0,0.2,3.8,0,3.8,4,71.4,5.61
1999,2000,2000/06/19,,,,,,0,0,0,1.91,0,1.91,1.91,51.6,3.7
1998,1999,1999/06/26,,,,,,0,0,0,1.98,0,1.98,1.98,,
1997,1998,,,,,,,0,0,0,0,0,0,0,,
