盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/21,,,,,,0,0,0,0,0,0,0,28.3,0
2016,2017,2017/06/22,2017/07/28,20,,,2017/08/18,0,0.51,0.51,0,0,0,0.51,26.9,1.9
2015,2016,2016/06/21,2016/07/11,25.85,,,2016/08/11,0,1.04,1.04,0,0,0,1.04,24.5,4.26
2014,2015,2015/06/18,2015/08/11,46.1,,,2015/08/26,0,2,2,0,0,0,2,45.8,4.36
2013,2014,2014/06/17,2014/07/29,67,,,2014/08/27,1,0,1,0,0,0,1,62.6,1.6
2012,2013,2013/06/19,2013/08/21,38.75,2013/08/21,38.75,,0,0.4,0.4,0,0.1,0.1,0.5,40.1,1.25
2011,2012,2012/06/19,2012/08/29,28.4,2012/08/29,28.4,,0.5,0,0.5,0.5,0,0.5,1,32.9,3.04
2010,2011,2011/06/17,2011/07/08,36.9,,,,2.5,0,2.5,0,0,0,2.5,41.2,6.07
2009,2010,2010/05/20,2010/07/13,76.9,2010/07/13,76.9,,5.5,0,5.5,0.5,0,0.5,6,78,7.69
2008,2009,2009/04/30,2009/08/27,86.5,,,,3,0,3,0,0,0,3,85,3.52
2007,2008,2008/05/05,2008/05/20,232,2008/06/16,192.5,,7.04,0,7.04,1.01,0,1.01,8.05,142.5,5.65
2006,2007,2007/04/30,2007/05/28,,2007/05/28,,,6,0,6,1,0,1,7,221.2,3.16
