盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/29,,,,,,0,0,0,0,0,0,0,9.09,0
2016,2017,2017/06/15,,,,,,0,0,0,0,0,0,0,9.64,0
2015,2016,2016/06/22,,,,,,0,0,0,0,0,0,0,12.2,0
2014,2015,2015/05/06,,,,,,0,0,0,0,0,0,0,13,0
2013,2014,2014/06/18,,,,,,0,0,0,0,0,0,0,10.4,0
2012,2013,2013/06/11,,,,,,0,0,0,0,0,0,0,4.83,0
2011,2012,2012/06/15,,,,,,0,0,0,0,0,0,0,4.35,0
2010,2011,2011/06/15,,,,,,0,0,0,0,0,0,0,6.29,0
2009,2010,2010/06/15,,,,,,0,0,0,0,0,0,0,8.73,0
2008,2009,2009/06/10,,,,,,0,0,0,0,0,0,0,5.23,0
2007,2008,2008/05/27,,,,,,0,0,0,0,0,0,0,5.35,0
2006,2007,2007/06/21,,,,,,0,0,0,0,0,0,0,10.7,0
2005,2006,2006/06/14,,,,,,0,0,0,0,0,0,0,4.02,0
2004,2005,2005/06/14,,,,,,0,0,0,0,0,0,0,3.8,0
2003,2004,2004/04/28,,,,,,0,0,0,0,0,0,0,4.65,0
2002,2003,2003/06/27,,,,,,0,0,0,0,0,0,0,5.9,0
2001,2002,2002/06/19,,,,,,0,0,0,0,0,0,0,10,0
2000,2001,2001/06/19,,,2001/08/09,,,0,0,0,0,1,1,1,10.6,9.39
1999,2000,2000/06/14,,,,,,0,0,0,0.95,1,1.95,1.95,38.3,5.09
1998,1999,,,,,,,0,0,0,1,1,2,2,43,4.66
1997,1998,1998/05/22,,,1998/06/30,,,0,0,0,2.22,1.53,3.75,3.75,53.3,7.03
1996,1997,1997/05/22,,,1997/06/29,,,0,0,0,2.19,1.61,3.8,3.8,71.6,5.3
1995,1996,1996/05/20,,,1996/06/27,,,0,0,0,1.88,1.12,3,3,37.3,8.04
1994,1995,1995/06/10,,,1995/07/22,,,0,0,0,2.23,0.27,2.5,2.5,47.6,5.25
1993,1994,1994/06/11,,,1994/07/30,,,0,0,0,1.5,0.4,1.9,1.9,57.9,3.28
1992,1993,1993/05/29,,,1993/08/30,,,0,0,0,1.62,0.38,2,2,,
