盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/21,2018/07/26(即將除息),,,,2018/08/24(即將發放),1.6,0,1.6,0,0,0,1.6,31.2,5.13
2016,2017,2017/06/22,2017/07/27,31.6,,,2017/08/25,2,0,2,0,0,0,2,33.3,6.01
2015,2016,2016/06/17,2016/08/29,34.4,,,2016/09/23,1.5,0,1.5,0,0,0,1.5,29.6,5.06
2014,2015,2015/06/17,2015/08/26,15.15,,,2015/09/23,1,0,1,0,0,0,1,21.1,4.75
2013,2014,2014/06/17,,,,,,0,0,0,0,0,0,0,18.9,0
2012,2013,2013/06/21,,,,,,0,0,0,0,0,0,0,13.9,0
2011,2012,2012/06/21,2012/09/06,11.7,2012/09/06,11.7,,0.1,0,0.1,0.1,0,0.1,0.2,12,1.67
2010,2011,2011/06/17,,,2011/09/08,11.9,,0,0,0,0.3,0,0.3,0.3,14.9,2.01
2009,2010,2010/06/18,2010/09/09,18.65,2010/09/09,18.65,,0.5,0,0.5,1,0,1,1.5,21.2,7.08
2008,2009,2009/06/19,2009/09/08,20.1,2009/09/08,20.1,,0.3,0,0.3,0.3,0,0.3,0.6,19.4,3.09
2007,2008,2008/06/19,2008/10/08,11.75,2008/10/08,11.75,,0.41,0,0.41,0.41,0,0.41,0.81,17.2,4.73
2006,2007,2007/06/15,2007/08/16,23.5,2007/08/16,23.5,,0.15,0,0.15,0.15,0,0.15,0.29,23.9,1.22
2005,2006,2006/06/21,,,,,,0,0,0,0,0,0,0,22.1,0
2004,2005,2005/06/16,2005/08/11,19.2,2005/08/11,19.2,,0.3,0,0.3,1.2,0,1.2,1.5,24.2,6.2
2003,2004,2004/06/10,2004/07/15,29.4,2004/07/15,29.4,,1.25,0,1.25,1.25,0,1.25,2.5,36,6.94
2002,2003,2003/06/17,2003/08/07,55.5,2003/08/07,55.5,,3,0,3,0.5,0,0.5,3.5,56.6,6.18
2001,2002,2002/05/28,2002/07/04,,2002/07/04,,,0.8,0,0.8,0.8,0,0.8,1.6,40.2,3.98
2000,2001,2001/05/31,,,2001/07/13,,,0,0,0,0.3,0,0.3,0.3,17.8,1.69
1999,2000,2000/05/24,2000/07/04,,2000/07/04,,,0.5,0,0.5,1.4,0.6,2,2.5,25.3,9.87
1998,1999,,,,,,,1,0,1,2,0,2,3,49.4,6.08
1997,1998,,,,,,,0,0,0,2.5,0.5,3,3,96.3,3.12
1996,1997,,,,,,,0,0,0,2,0,2,2,67.7,2.95
1995,1996,,,,,,,0,0,0,1.5,0.5,2,2,,
1994,1995,,,,,,,0,0,0,0.4,1,1.4,1.4,,
1993,1994,,,,,,,0,0,0,0,0,0,0,,
1992,1993,,,,,,,0,0,0,0,0,0,0,,
