盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/05,2018/07/05,33.35,2018/07/05,33.35,2018/08/01(即將發放),2.3,0,2.3,0.2,0,0.2,2.5,35.6,7.03
2016,2017,2017/06/08,2017/07/05,32,2017/07/05,32,2017/08/09,2.4,0,2.4,0.1,0,0.1,2.5,33.5,7.45
2015,2016,2016/06/02,2016/07/18,29.9,2016/07/18,29.9,2016/08/24,2.3,0,2.3,0.2,0,0.2,2.5,30.2,8.28
2014,2015,2015/06/02,2015/07/01,36.9,2015/07/01,36.9,2015/07/31,2.2,0,2.2,0.3,0,0.3,2.5,34.1,7.34
2013,2014,2014/06/04,2014/07/03,39.25,2014/07/03,39.25,,2,0,2,0.3,0,0.3,2.3,36.4,6.31
2012,2013,2013/06/04,2013/07/04,27.38,2013/07/04,27.38,,1.8,0,1.8,0.5,0,0.5,2.3,28.4,8.09
2011,2012,2012/06/06,2012/07/04,25.97,2012/07/04,25.97,,1.8,0,1.8,0.8,0,0.8,2.6,27.3,9.51
2010,2011,2011/06/09,2011/07/18,31.85,2011/07/18,31.85,,1.78,0,1.78,0.89,0,0.89,2.66,32.8,8.12
2009,2010,2010/06/14,2010/07/15,,2010/07/15,,,2,0,2,0.5,0.5,1,3,,
2008,2009,2009/05/12,,,2009/07/09,,,2,0,2,0.5,0,0.5,2.5,,
2007,2008,2008/06/17,,,2008/08/01,,,2,0,2,1,0,1,3,,
2006,2007,2007/05/29,,,,,,0,0,0,1,0,1,1,,
