盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/28,2018/07/18(即將除息),,,,2018/08/09(即將發放),0.3,0,0.3,0,0,0,0.3,31.5,0.95
2016,2017,2017/06/22,2017/08/10,35.6,,,2017/09/06,1.15,0,1.15,0,0,0,1.15,39.2,2.94
2015,2016,2016/06/28,2016/09/10,48.75,,,2016/10/07,1,0,1,0,0,0,1,48.9,2.05
2014,2015,2015/06/23,2015/08/27,39.4,2015/08/27,39.4,2015/10/08,1.5,0,1.5,0.05,0,0.05,1.55,65.9,2.35
2013,2014,2014/06/24,2014/07/22,66.3,2014/07/22,66.3,2014/08/22,2,0,2,5,0,5,7,77.7,9.01
2012,2013,2013/06/21,2013/08/29,91.3,2013/08/29,91.3,,1.5,0,1.5,0.05,0,0.05,1.55,83.8,1.85
2011,2012,2012/06/28,2012/09/13,65.9,2012/09/13,65.9,,1.95,0,1.95,0.05,0,0.05,2,73.6,2.72
2010,2011,2011/06/28,2011/09/16,55.6,2011/09/16,55.6,,0.5,0,0.5,0.25,0,0.25,0.75,56.6,1.33
2009,2010,2010/06/30,2010/09/13,45.8,,,,0.3,0,0.3,0,0,0,0.3,44.8,0.67
2008,2009,2009/06/26,2009/09/11,28.5,2009/09/11,28.5,,0.3,0,0.3,0.2,0,0.2,0.5,31.3,1.6
2007,2008,2008/06/25,2008/08/21,38.4,2008/08/21,38.4,,1,0,1,0.2,0,0.2,1.2,44.4,2.71
2006,2007,2007/06/22,2007/08/14,123.5,2007/08/14,123.5,,3,0,3,2,0,2,5,173.1,2.89
2005,2006,2006/06/27,2006/08/14,184,2006/08/14,184,,2.25,0,2.25,2.25,0,2.25,4.5,190.2,2.37
2004,2005,2005/06/24,2005/08/19,99.3,2005/08/19,99.3,,1.5,0,1.5,2,0,2,3.5,106.9,3.27
2003,2004,2004/06/30,2004/08/25,74.86,2004/08/19,54,,1,0,1,2.5,0,2.5,3.5,68.7,5.09
2002,2003,2003/06/23,2003/08/18,66,2003/08/18,66,,1,0,1,2,0,2,3,72.4,4.14
2001,2002,,,,,,,0,0,0,3.59,0,3.59,3.59,,
2000,2001,,,,,,,0,0,0,5,0,5,5,,
