盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/21,,,,,,0,0,0,0,0,0,0,29,0
2016,2017,2017/06/27,,,,,,0,0,0,0,0,0,0,21.7,0
2015,2016,2016/06/14,,,,,,0,0,0,0,0,0,0,15.3,0
2014,2015,2015/06/22,,,,,,0,0,0,0,0,0,0,19.2,0
2013,2014,2014/06/23,,,,,,0,0,0,0,0,0,0,26.9,0
2012,2013,2013/06/17,2013/07/22,28.9,,,,0.4,0,0.4,0,0,0,0.4,32.4,1.23
2011,2012,2012/06/06,2012/07/12,65.5,,,,6.35,0,6.35,0,0,0,6.35,60.6,10.48
2010,2011,2011/06/09,2011/07/13,108,,,,8.31,0,8.31,0,0,0,8.31,99.2,8.37
2009,2010,2010/06/14,2010/09/06,71,,,,1.02,0,1.02,0,0,0,1.02,60.8,1.68
2008,2009,2009/06/10,2009/07/28,28.35,,,,0.31,0,0.31,0,0,0,0.31,25.8,1.2
2007,2008,2008/06/11,2008/07/24,62.1,,,,6.5,0,6.5,0,0,0,6.5,54.8,11.87
2006,2007,2007/06/08,2007/08/13,,,,,1.5,0,1.5,0,0,0,1.5,100.2,1.5
2005,2006,2006/06/29,,,,,,0,0,0,0,0,0,0,,
