盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/14,2018/07/04,37.2,,,2018/07/31(即將發放),2,0.24,2.24,0,0,0,2.24,42.1,5.32
2016,2017,2017/06/14,2017/07/04,35.35,,,2017/07/31,0.8,0.62,1.43,0,0,0,1.43,39.5,3.61
2015,2016,2016/06/15,2016/07/05,28.55,,,2016/07/29,0.97,0.19,1.16,0,0,0,1.16,29.6,3.93
2014,2015,2015/06/02,2015/06/23,37.6,,,2015/07/31,2,0.65,2.65,0,0,0,2.65,37.4,7.11
2013,2014,2014/06/18,2014/07/11,57.9,,,,1.5,0.5,2,0,0,0,2,49,4.07
2012,2013,2013/06/11,2013/07/09,36.45,,,,0,0.6,0.6,0,0,0,0.6,34.8,1.73
2011,2012,2012/06/15,2012/07/05,25.35,,,,0,0.5,0.5,0,0,0,0.5,24.9,2.01
2010,2011,2011/06/15,2011/07/04,37.65,,,,1,0,1,0,0,0,1,38.1,2.63
2009,2010,2010/06/18,2010/07/06,56,,,,1,0,1,0,0,0,1,53.7,1.86
2008,2009,2009/06/10,2009/06/26,41.3,,,,1,0,1,0,0,0,1,42.2,2.38
2007,2008,2008/06/13,2008/08/22,38.25,2008/08/22,38.25,,2.2,0,2.2,0.3,0,0.3,2.5,40.9,6.12
2006,2007,2007/06/15,2007/08/23,71.9,2007/08/23,71.9,,1.83,0,1.83,0.3,0,0.3,2.13,80.3,2.65
2005,2006,2006/06/23,2006/08/23,25.8,2006/08/23,25.8,,1,0,1,0.34,0,0.34,1.34,32.5,4.12
2004,2005,2005/06/13,2005/08/24,40.25,2005/08/24,40.25,,2.5,0,2.5,1.2,0,1.2,3.7,53.4,6.93
2003,2004,2004/06/25,2004/08/24,101,2004/08/24,101,,2,0,2,1,0,1,3,100.6,2.98
2002,2003,2003/06/06,2003/08/21,86.5,2003/08/21,86.5,,1.8,0,1.8,1.2,0,1.2,3,85.4,3.51
2001,2002,2002/06/19,2002/08/22,177.63,2002/08/22,177.63,,1.5,0,1.5,3,0,3,4.5,206.8,2.18
2000,2001,,,,,,,2.6,0,2.6,6.4,0,6.4,9,,
1999,2000,,,,,,,0,0,0,6.3,0,6.3,6.3,,
1998,1999,,,,,,,0.21,0,0.21,0.39,0,0.39,0.6,,
