盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/15,2018/07/04,49.5,,,2018/07/27,2.5,0,2.5,0,0,0,2.5,53.7,4.66
2016,2017,2017/06/15,2017/07/12,56.7,,,2017/08/10,2.5,0,2.5,0,0,0,2.5,57.3,4.36
2015,2016,2016/06/22,2016/07/22,47.5,,,2016/08/10,2,0,2,0,0,0,2,49,4.08
2014,2015,2015/06/29,2015/07/27,49.3,,,2015/08/12,2.2,0,2.2,0,0,0,2.2,54.2,4.06
2013,2014,2014/06/18,2014/07/24,58.8,,,2014/08/08,2.5,0,2.5,0,0,0,2.5,58.9,4.24
2012,2013,2013/06/19,2013/07/18,72.5,,,,3,0,3,0,0,0,3,69.7,4.3
2011,2012,2012/06/20,2012/07/18,64.4,,,,3,0,3,0,0,0,3,65.1,4.61
2010,2011,2011/06/15,2011/07/08,84.8,,,,3,0,3,0,0,0,3,73.2,4.1
2009,2010,2010/06/15,2010/08/12,59,2010/08/12,59,,2.5,0,2.5,0.2,0,0.2,2.7,59.8,4.52
2008,2009,2009/06/19,2009/08/07,50.2,2009/08/07,50.2,,2,0,2,0.3,0,0.3,2.3,46.6,4.94
2007,2008,2008/06/19,2008/08/26,28.1,2008/08/26,28.1,,0.8,0,0.8,0.2,0,0.2,1,30.8,3.24
2006,2007,2007/06/22,2007/09/12,28.85,2007/09/12,28.85,,1,0,1,0.2,0,0.2,1.2,29,4.13
2005,2006,2006/06/23,2006/09/06,23.1,2006/09/06,23.1,,0.8,0,0.8,0.2,0,0.2,1,25,4.01
2004,2005,2005/06/14,2005/09/12,21.25,2005/09/12,21.25,,1.2,0,1.2,0.3,0,0.3,1.5,24.9,6.03
2003,2004,2004/06/15,2004/09/07,30.5,2004/09/07,30.5,,1.49,0,1.49,0.5,0,0.5,1.99,35.3,5.64
2002,2003,2003/06/18,2003/08/18,43.3,2003/08/18,43.3,,1.47,0,1.47,0.98,0,0.98,2.45,46.9,5.23
2001,2002,2002/05/07,2002/07/02,35.28,2002/07/02,35.28,,0.75,0,0.75,0.75,0,0.75,1.5,36.6,4.1
2000,2001,2001/05/31,2001/07/12,23.21,2001/07/12,23.21,,1.25,0,1.25,1.25,0,1.25,2.5,25.4,9.83
1999,2000,2000/04/18,2000/06/15,,2000/06/15,,,1.2,0,1.2,1.2,0,1.2,2.4,,
1998,1999,1999/04/20,1999/06/02,,1999/06/02,,,1.5,0,1.5,0.5,0,0.5,2,,
1997,1998,,,,,,,0.5,0,0.5,0,0,0,0.5,,
1996,1997,,,,,,,0.5,0,0.5,0,0.5,0.5,1,,
