盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/26,,,,,,0,0,0,0,0,0,0,6.78,0
2016,2017,2017/06/15,,,,,,0,0,0,0,0,0,0,8,0
2015,2016,2016/06/17,,,,,,0,0,0,0,0,0,0,4.6,0
2014,2015,2015/06/30,,,,,,0,0,0,0,0,0,0,5.13,0
2013,2014,2014/06/24,,,,,,0,0,0,0,0,0,0,6.3,0
2012,2013,2013/06/28,,,,,,0,0,0,0,0,0,0,6.51,0
2011,2012,2012/06/28,,,,,,0,0,0,0,0,0,0,7.94,0
2010,2011,2011/06/24,2011/08/17,9.97,2011/08/17,9.97,,0.11,0,0.11,0,0.32,0.32,0.43,9.82,4.35
2009,2010,2010/06/17,,,,,,0,0,0,0,0,0,0,11.7,0
2008,2009,2009/06/17,,,2009/08/21,7.41,,0,0,0,0,0.31,0.31,0.31,8.69,3.58
2007,2008,2008/06/13,2008/07/31,8.87,2008/07/31,8.87,,0.2,0,0.2,0,0.5,0.5,0.7,9.91,7.09
2006,2007,2007/06/13,2007/07/12,19.1,,,,1,0,1,0,0,0,1,17,5.87
2005,2006,2006/06/14,2006/08/14,16.8,2006/08/14,16.8,,1.3,0,1.3,0.5,0.5,1,2.3,20.5,11.2
2004,2005,2005/06/14,2005/08/12,23.45,2005/08/12,23.45,,1.08,0,1.08,0.49,0.49,0.98,2.07,25.4,8.14
2003,2004,2004/06/15,2004/08/09,20.7,2004/08/09,20.7,,1.31,0,1.31,0.81,0.5,1.31,2.63,28.4,9.25
2002,2003,2003/06/24,2003/08/07,32,2003/08/07,32,,0.5,0,0.5,1.5,0.5,2,2.5,34.8,7.19
2001,2002,2002/06/24,2002/09/18,46.4,2002/09/18,46.4,,0.2,0,0.2,0.3,0.5,0.8,1,35,2.86
2000,2001,,,,,,,0.2,0,0.2,0.3,0.5,0.8,1,16.1,6.21
1999,2000,2000/06/22,,,2000/08/17,,,0,0,0,0.7,0.8,1.5,1.5,30.6,4.9
1998,1999,1999/06/14,,,1999/05/13,,,0,0,0,0.7,0.2,0.9,0.9,20,4.5
1997,1998,1998/05/21,,,1998/11/04,,,0,0,0,1.4,0,1.4,1.4,31,4.52
1996,1997,1997/06/06,,,1997/08/10,,,0,0,0,1.2,0,1.2,1.2,,
1995,1996,,,,,,,0,0,0,0.5,0,0.5,0.5,,
1994,1995,,,,,,,0.4,0,0.4,0.17,0.12,0.29,0.69,,
1993,1994,,,,,,,0,0,0,1,0.5,1.5,1.5,,
1992,1993,,,,,,,0,0,0,1,0.4,1.4,1.4,,
1991,1992,,,,,,,0,0,0,1.5,1,2.5,2.5,,
1989,1990,,,,,,,0,0,0,1.08,1.62,2.7,2.7,,
1987,1988,,,,,,,0,0,0,1.2,0,1.2,1.2,,
1985,1986,,,,,,,0,0,0,1,0,1,1,,
1983,1984,,,,,,,0,0,0,2.1,0,2.1,2.1,,
1981,1982,,,,,,,0,0,0,1.8,0,1.8,1.8,,
1978,1979,,,,,,,0,0,0,2,0,2,2,,
