盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/21,2018/07/26(即將除息),,,,2018/08/24(即將發放),1.4,0,1.4,0,0,0,1.4,42.2,3.31
2016,2017,2017/06/21,2017/07/26,41.8,,,2017/08/25,1.4,0,1.4,0,0,0,1.4,42.4,3.3
2015,2016,2016/06/23,2016/07/26,40,,,2016/08/25,1.4,0,1.4,0,0,0,1.4,40.5,3.46
2014,2015,2015/06/23,2015/07/24,40.1,,,2015/08/26,1.4,0,1.4,0,0,0,1.4,40.4,3.46
2013,2014,2014/06/18,2014/08/14,40.4,2014/08/14,40.4,2014/09/16,1.2,0,1.2,0.2,0,0.2,1.4,41.4,3.39
2012,2013,2013/06/19,2013/07/26,39.45,2013/07/26,39.45,,1.3,0,1.3,0.1,0,0.1,1.4,40.6,3.45
2011,2012,2012/06/15,2012/07/26,38.25,2012/07/26,38.25,,1.25,0,1.25,0.15,0,0.15,1.4,39.3,3.57
2010,2011,2011/06/15,2011/07/18,38,2011/07/18,38,,1.99,0,1.99,0.5,0,0.5,2.49,39.7,6.27
2009,2010,2010/06/23,2010/07/26,37.45,2010/07/26,37.45,,1.07,0,1.07,0.33,0,0.33,1.4,38.7,3.62
2008,2009,2009/06/19,2009/07/24,34,2009/07/24,34,,1.3,0,1.3,0.43,0,0.43,1.73,34.4,5.02
2007,2008,2008/06/19,2008/07/24,44.75,2008/07/24,44.75,,3.5,0,3.5,0.3,0,0.3,3.8,41.3,9.21
2006,2007,,2007/07/26,43.8,2007/07/26,43.8,,2.78,0,2.78,0.3,0,0.3,3.08,40.7,7.57
2005,2006,,2006/07/26,29.35,2006/07/26,29.35,,3.75,0,3.75,0.35,0,0.35,4.1,32,12.82
2004,2005,,2005/07/26,29.2,2005/07/26,29.2,,3.9,0,3.9,0.5,0,0.5,4.4,32.1,13.71
2003,2004,,2004/07/23,29.8,,,,1.4,0,1.4,0,0,0,1.4,33.2,4.21
2002,2003,,2003/07/24,27.2,,,,1.2,0,1.2,0,0,0,1.2,27.8,4.32
2001,2002,,,,,,,1.5,0,1.5,0,0,0,1.5,22.9,6.55
2000,2001,,,,,,,1.3,0,1.3,0,0,0,1.3,20,6.5
1999,2000,,,,,,,2.5,0,2.5,0,0,0,2.5,21.8,11.47
1998,1999,,,,,,,1.1,0,1.1,0,0,0,1.1,,
1997,1998,,,,,,,0,0,0,0,0,0,0,,
1996,1997,,,,,,,1.25,0,1.25,0,0,0,1.25,,
1995,1996,,,,,,,0,0,0,0,0,0,0,,
