盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/20,,,,,,0.13,0,0.13,0.2,0.17,0.37,0.5,9.42,5.31
2016,2017,2017/06/22,2017/08/08,9.7,,,2017/08/31,0.39,0.21,0.6,0,0,0,0.6,9.57,6.27
2015,2016,2016/06/23,2016/08/24,8.81,2016/08/24,8.81,2016/10/14,0.03,0,0.03,0.52,0,0.52,0.55,8.88,6.19
2014,2015,2015/06/17,2015/08/12,8.73,2015/08/12,8.73,2015/10/01,0.03,0,0.03,0.47,0,0.47,0.5,9.04,5.53
2013,2014,2014/06/19,2014/08/20,9.14,2014/08/20,9.14,2014/10/06,0.02,0,0.02,0.06,0.2,0.26,0.28,9.39,2.98
2012,2013,2013/06/20,2013/08/07,9.41,2013/08/07,9.41,,0.02,0,0.02,0.18,0,0.18,0.2,9.49,2.11
2011,2012,2012/06/21,,,,,,0,0,0,0,0,0,0,8.87,0
2010,2011,2011/06/16,2011/08/01,12.45,2011/08/01,12.45,,0.02,0,0.02,0.15,1,1.15,1.17,12,9.75
2009,2010,2010/06/23,,,,,,0,0,0,0,0,0,0,11.8,0
2008,2009,2009/06/18,,,,,,0,0,0,0,0,0,0,9.12,0
2007,2008,2008/06/19,2008/08/20,12.35,2008/08/20,12.35,,0.1,0,0.1,0.4,0,0.4,0.5,12.9,3.88
2006,2007,2007/06/14,2007/07/04,18.15,,,,0.6,0,0.6,0,0,0,0.6,18.3,3.28
2005,2006,2006/06/22,2006/07/11,13.6,,,,0.5,0,0.5,0,0,0,0.5,15,3.34
2004,2005,2005/06/23,2005/07/22,21.6,,,,0.5,0,0.5,0,0,0,0.5,21.1,2.37
2003,2004,2004/06/10,2004/08/10,20,2004/08/10,20,,0.5,0,0.5,0,1,1,1.5,23.4,6.42
2002,2003,2003/06/19,2003/07/08,15.9,,,,0.5,0,0.5,0,0,0,0.5,16.8,2.98
2001,2002,2002/06/20,2002/08/13,,2002/08/13,,,1.3,0,1.3,0,0.2,0.2,1.5,16.4,9.14
2000,2001,2001/05/22,,,,,,1.5,0,1.5,0,0,0,1.5,13.8,10.85
1999,2000,,,,,,,0,0,0,0,0,0,0,12.4,0
1998,1999,,,,,,,0.6,0,0.6,1.6,0,1.6,2.2,17,12.94
1997,1998,1998/11/27,,,,,,0,0,0,0,0,0,0,25,0
1996,1997,,,,,,,0.6,0,0.6,0,0,0,0.6,,
1995,1996,1996/10/17,,,,,,0.6,0,0.6,0,0,0,0.6,,
1994,1995,1995/10/12,,,,,,0.6,0,0.6,0,0,0,0.6,,
1993,1994,1994/10/26,,,,,,0.6,0,0.6,1.81,0,1.81,2.41,,
1992,1993,1993/10/29,,,,,,0.6,0,0.6,0,0,0,0.6,,
1991,1992,1992/10/20,,,,,,0.6,0,0.6,0,0,0,0.6,,
