盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/15,2018/07/04,19.9,,,2018/07/30(即將發放),1.1,0,1.1,0,0,0,1.1,20.8,5.29
2016,2017,2017/06/16,2017/07/05,18.7,,,2017/07/31,0.9,0,0.9,0,0,0,0.9,19.5,4.62
2015,2016,2016/06/14,2016/06/30,18.7,,,2016/07/26,1.2,0,1.2,0,0,0,1.2,19.8,6.06
2014,2015,2015/06/12,2015/07/07,21.8,,,2015/07/29,0.9,0,0.9,0,0,0,0.9,22.3,4.03
2013,2014,2014/06/06,2014/07/15,22.75,,,,1.1,0,1.1,0,0,0,1.1,23.2,4.75
2012,2013,2013/06/21,2013/07/09,20.95,,,,1.1,0,1.1,0,0,0,1.1,22.4,4.91
2011,2012,2012/06/15,2012/07/10,19.35,,,,1.16,0,1.16,0,0,0,1.16,20.8,5.57
2010,2011,2011/06/10,2011/06/28,24.85,,,,2,0,2,0,0,0,2,24.4,8.21
2009,2010,2010/06/08,2010/07/20,26.85,2010/09/16,23.25,,1,0,1,1.6,0,1.6,2.6,26.1,9.95
2008,2009,2009/06/19,,,,,,0,0,0,0,0,0,0,20.8,0
2007,2008,2008/06/13,2008/07/02,24.6,,,,2.68,0,2.68,0,0,0,2.68,23.6,11.38
2006,2007,,2007/07/04,26.9,,,,1.95,0,1.95,0,0,0,1.95,24.8,7.85
2005,2006,2006/06/09,2006/06/29,17.85,,,,1.35,0,1.35,0,0,0,1.35,17.4,7.75
2004,2005,2005/06/10,2005/06/30,15.85,2005/09/02,14.2,,1,0,1,0.4,0,0.4,1.4,15.8,8.86
2003,2004,2004/06/11,2004/06/30,18.4,2004/09/17,18.6,,0.5,0,0.5,0.85,0,0.85,1.35,18.4,7.34
2002,2003,2003/05/28,2003/06/20,11.8,2003/08/15,11.15,,0.5,0,0.5,0.6,0,0.6,1.1,11.9,9.27
2001,2002,2002/05/20,2002/06/12,13.33,2002/08/12,11.35,,0.81,0,0.81,0,1.02,1.02,1.83,12.2,15.05
2000,2001,,2001/08/08,,,11.1,,0,0,0,0.69,1.19,1.88,1.88,13.5,13.88
1999,2000,2000/06/28,2000/11/16,,,13.35,,0,0,0,1.45,1.75,3.2,3.2,24.8,12.88
1998,1999,,1999/07/03,31.4,1999/07/03,31.4,,0.83,0,0.83,1.27,0.9,2.17,3,33.7,8.91
1997,1998,1998/11/17,1998/12/30,42.3,1998/12/30,,,0.6,0,0.6,0,0.53,0.53,1.13,44.8,2.51
1996,1997,1997/12/12,1998/04/17,48.6,,,,0.6,0,0.6,0,0,0,0.6,44.8,1.34
1995,1996,1996/09/21,,,,,,0.6,0,0.6,1.25,0.62,1.87,2.47,,
1994,1995,1995/09/23,,,,,,1.4,0,1.4,1.67,0,1.67,3.07,,
1993,1994,,,,,,,2.1,0,2.1,0,0,0,2.1,,
1992,1993,,,,,,,0.6,0,0.6,0,0,0,0.6,,
