盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/08,2018/06/26,63.1,,,2018/07/23(即將發放),2.46,0,2.46,0,0,0,2.46,64.9,3.79
2016,2017,2017/06/16,2017/07/03,62.1,,,2017/07/28,1.71,0,1.71,0,0,0,1.71,62.8,2.72
