盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,,2018/05/03,13.26,,,,0.41,0,0.41,0,0,0,0.41,13.4,3.03
2016,2017,,2017/05/02,14.31,,,,0.41,0,0.41,0,0,0,0.41,13.7,2.98
2015,2016,,2016/05/05,16.53,,,,0.45,0,0.45,0,0,0,0.45,16,2.81
2014,2015,,2015/05/07,18.38,,,,0.64,0,0.64,0,0,0,0.64,16.6,3.85
2013,2014,,2014/05/09,13.99,,,,0.58,0,0.58,0,0,0,0.58,15.2,3.81
2012,2013,,2013/05/09,18.34,,,,0.43,0,0.43,0,0,0,0.43,17.7,2.42
2011,2012,,2012/05/08,16.95,,,,0.51,0,0.51,0,0,0,0.51,16.6,3.05
2010,2011,,2011/05/03,12.19,,,,0.44,0,0.44,0,0,0,0.44,12.8,3.44
2009,2010,,2010/04/29,10.86,,,,0.45,0,0.45,0,0,0,0.45,11.5,3.89
2008,2009,,2009/04/28,10.07,,,,0.44,0,0.44,0,0,0,0.44,10.6,4.2
2007,2008,,2008/05/06,11.79,,,,0.46,0,0.46,0,0,0,0.46,11,4.2
2006,2007,,2007/05/08,13.37,,,,0.45,0,0.45,0,0,0,0.45,12.2,3.7
2005,2006,,2006/05/16,10.75,,,,0.31,0,0.31,0,0,0,0.31,10.9,2.88
