盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/15,2018/07/26,36.3,,,2018/08/24(即將發放),2,0,2,0,0,0,2,38.6,5.19
2016,2017,2017/06/14,2017/07/26,37.8,,,2017/08/25,2,0,2,0,0,0,2,39.3,5.09
2015,2016,2016/06/16,2016/07/26,39.95,,,2016/08/25,2,0,2,0,0,0,2,39.9,5.01
2014,2015,2015/06/25,2015/07/24,38.2,,,2015/08/25,1.9,0,1.9,0,0,0,1.9,39,4.87
2013,2014,2014/06/26,2014/08/14,40.15,2014/08/14,40.15,2014/09/19,1.8,0,1.8,0.1,0,0.1,1.9,40.3,4.71
2012,2013,2013/06/20,2013/07/25,35.75,,,,1.8,0,1.8,0,0,0,1.8,36.4,4.95
2011,2012,2012/06/22,2012/07/26,29.55,,,,1.7,0,1.7,0,0,0,1.7,30.7,5.54
2010,2011,2011/06/24,2011/07/26,25.75,,,,1.7,0,1.7,0,0,0,1.7,25.3,6.72
2009,2010,2010/06/25,2010/07/27,22.45,,,,1.6,0,1.6,0,0,0,1.6,23,6.95
2008,2009,2009/06/26,2009/07/28,19.2,,,,1,0,1,0,0,0,1,18.4,5.45
2007,2008,2008/06/13,2008/07/24,26.9,2008/07/24,26.9,,1.8,0,1.8,0.2,0,0.2,2,24.4,8.19
2006,2007,2007/06/15,2007/07/25,30.35,2007/07/25,30.35,,1.6,0,1.6,0.1,0,0.1,1.7,31.3,5.44
2005,2006,2006/06/15,2006/07/26,28.1,2006/07/26,28.1,,1.3,0,1.3,0.2,0,0.2,1.5,27,5.55
2004,2005,2005/06/14,2005/07/26,17.95,2005/07/26,17.95,,1,0,1,0.4,0,0.4,1.4,19.6,7.16
2003,2004,2004/05/21,2004/07/12,15.9,2004/07/12,15.9,,1,0,1,0.2,0,0.2,1.2,16.8,7.13
2002,2003,2003/06/30,2003/08/21,14.65,2003/08/21,14.65,,0.5,0,0.5,0.5,0,0.5,1,15.3,6.54
2001,2002,2002/05/16,2002/07/08,16.3,2002/07/08,16.3,,0.5,0,0.5,1,0.5,1.5,2,17.6,11.34
2000,2001,2001/05/25,2001/07/24,16.58,2001/07/24,16.58,,0.5,0,0.5,1.2,0.8,2,2.5,23.3,10.74
1999,2000,2000/05/06,,,,,,0,0,0,2,1,3,3,38.1,7.87
1998,1999,1999/05/15,,,1999/06/22,40.76,,0,0,0,2.2,0.8,3,3,44.4,6.76
1997,1998,1998/05/16,,,1998/06/18,72,,0,0,0,1,2,3,3,79,3.8
1996,1997,1997/05/17,,,1997/06/25,98,,0,0,0,3,0,3,3,99.3,3.02
1995,1996,1996/05/01,1996/07/02,66.5,1996/07/02,58,,1,0,1,1.5,0,1.5,2.5,68.2,3.67
1994,1995,1995/05/18,,,1995/09/25,,,0,0,0,1.28,0.72,2,2,55.7,3.59
1993,1994,1994/05/26,,,1994/09/15,,,0,0,0,1.5,1,2.5,2.5,,
1992,1993,1993/05/18,,,1993/10/15,,,0,0,0,7.7,2.5,10.2,10.2,,
