盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/14,,,,,,0.5,0,0.5,0,0,0,0.5,47.2,1.06
2016,2017,2017/06/16,,,,,,0,0,0,0,0,0,0,24.9,0
2015,2016,2016/06/16,,,,,,0,0,0,0,0,0,0,19.5,0
2014,2015,2015/06/18,2015/07/07,11.7,,,2015/08/05,0.1,0,0.1,0,0,0,0.1,14.3,0.7
2013,2014,2014/06/12,,,,,,0,0,0,0,0,0,0,18.6,0
2012,2013,2013/06/25,,,,,,0,0,0,0,0,0,0,12.8,0
2011,2012,2012/06/12,2012/07/10,14.65,,,,0.2,0,0.2,0,0,0,0.2,15,1.3
2010,2011,2011/06/22,2011/08/12,19.1,2011/08/12,19.1,,0.3,0,0.3,0.3,0,0.3,0.6,25.3,2.36
2009,2010,2010/06/25,,,,,,0,0,0,0,0,0,0,33.2,0
2008,2009,2009/06/16,,,,,,0,0,0,0,0,0,0,29.7,0
2007,2008,2008/06/11,2008/07/31,26.8,2008/07/31,26.8,,0.59,0,0.59,0.2,0,0.2,0.78,28,2.8
2006,2007,2007/05/30,2007/08/02,131.5,2007/08/02,131.5,,1,0,1,1,0,1,2,74.7,2.67
2005,2006,2006/04/28,2006/07/06,32.7,2006/07/06,32.7,,0.2,0,0.2,0.2,0,0.2,0.4,31.4,1.26
2004,2005,2005/06/23,2005/08/09,25.7,2005/08/09,25.7,,0.1,0,0.1,0.1,0.2,0.29,0.39,17.5,2.24
2003,2004,2004/06/15,,,,,,0,0,0,0,0,0,0,13.7,0
2002,2003,2003/06/03,,,,,,0,0,0,0,0,0,0,14.1,0
2001,2002,2002/04/23,,,,,,0,0,0,0,0,0,0,14.9,0
2000,2001,2001/05/15,,,,,,0,0,0,0,0,0,0,,
1999,2000,,,,,,,0,0,0,0,0,0,0,,
