盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/14,2018/07/13,8.07,,,2018/08/10(即將發放),0.3,0,0.3,0,0,0,0.3,8.68,3.46
2016,2017,2017/06/14,2017/07/17,9.03,,,2017/08/11,0.45,0,0.45,0,0,0,0.45,8.95,5.03
2015,2016,2016/06/03,2016/07/08,,,,2016/08/05,0.5,0,0.5,0,0,0,0.5,,
2014,2015,2015/06/02,2015/07/16,,,,2015/08/11,0.4,0,0.4,0,0,0,0.4,,
2013,2014,2014/06/06,2014/07/14,,,,2014/08/06,0.2,0,0.2,0,0,0,0.2,,
2012,2013,2013/06/14,2013/07/15,,,,,0.2,0,0.2,0,0,0,0.2,,
2011,2012,2012/06/18,2012/07/11,,,,,0.2,0,0.2,0,0,0,0.2,,
2010,2011,2011/06/13,2011/06/30,,,,,0.2,0,0.2,0,0,0,0.2,,
2009,2010,2010/06/18,2010/07/12,,,,,0.2,0,0.2,0,0,0,0.2,,
2008,2009,2009/06/19,,,,,,0,0,0,0,0,0,0,,
2007,2008,2008/06/13,2008/07/01,,,,,0.55,0,0.55,0,0,0,0.55,,
2006,2007,2007/06/15,2007/07/13,,,,,0.25,0,0.25,0,0,0,0.25,,
2005,2006,2006/06/09,2006/07/14,,,,,0.42,0,0.42,0,0,0,0.42,,
2004,2005,2005/06/10,2005/06/28,,,,,0.41,0,0.41,0,0,0,0.41,,
2003,2004,2004/06/11,2004/07/05,,,,,0.12,0,0.12,0,0,0,0.12,,
2002,2003,2003/06/06,,,,,,0,0,0,0,0,0,0,,
2001,2002,,,,,,,0.15,0,0.15,0.1,0,0.1,0.25,,
2000,2001,,,,,,,0,0,0,0.13,0,0.13,0.13,,
1999,2000,,,,,,,0,0,0,0.15,0,0.15,0.15,,
