盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/13,,,,,,0,0,0,0,0,0,0,15.4,0
2016,2017,2017/06/13,,,,,,0,0,0,0,0,0,0,16.1,0
2015,2016,2016/06/14,,,,,,0,0,0,0,0,0,0,16.1,0
2014,2015,2015/06/17,,,,,,0,0,0,0,0,0,0,19.8,0
2013,2014,2014/06/24,,,,,,0,0,0,0,0,0,0,22.3,0
2012,2013,2013/06/17,,,,,,0,0,0,0,0,0,0,13.3,0
2011,2012,2012/06/06,,,,,,0,0,0,0,0,0,0,16.6,0
2010,2011,2011/06/10,2011/08/05,24.75,2011/08/05,24.75,,1.65,0,1.65,0,0.1,0.1,1.75,29.6,5.92
2009,2010,2010/06/18,2010/09/10,47.05,2010/09/10,47.05,,1.65,0,1.65,0,0.25,0.25,1.9,52.3,3.63
2008,2009,2009/06/10,2009/08/04,63.56,2009/08/04,63.56,,0.77,0,0.77,0.36,0.15,0.51,1.29,58.3,2.21
2007,2008,2008/06/13,2008/07/04,59.19,2008/10/28,32.07,,3.81,0,3.81,0.26,0.26,0.52,4.33,61.7,7.02
2006,2007,2007/05/22,2007/08/02,196.49,2007/08/02,196.49,,2.49,0,2.49,0.25,0.5,0.75,3.23,139,2.32
2005,2006,2006/05/08,2006/08/23,45.94,2006/08/23,45.94,,1.55,0,1.55,0.52,0.52,1.03,2.58,55.6,4.64
2004,2005,,2005/08/04,33.1,2005/08/04,33.1,,0.12,0,0.12,0,0.21,0.21,0.33,27.3,1.2
2003,2004,2004/05/27,2004/08/19,12,2004/08/19,12,,0.83,0,0.83,1.24,0.78,2.02,2.85,22.4,12.74
2002,2003,2003/05/28,,,2003/07/17,37.7,,0,0,0,1.25,0,1.25,1.25,39.6,3.16
2001,2002,2002/06/12,,,2002/11/30,,,0,0,0,0.7,0,0.7,0.7,,
1999,2000,2000/04/25,,,2000/10/30,,,0,0,0,0,2.25,2.25,2.25,,
