盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/08,2018/07/04,51.7,,,2018/07/20(即將發放),2.38,0,2.38,0,0,0,2.38,54,4.4
2016,2017,2017/06/16,2017/07/11,51.9,,,2017/07/28,0.03,0,0.03,0,0,0,0.03,52.2,0.05
