盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/05,2018/06/21,22.05,,,2018/07/06,1,0,1,0,0,0,1,22.9,4.37
2016,2017,2017/06/02,2017/06/16,19.4,,,2017/07/03,1,0,1,0,0,0,1,19.4,5.14
2015,2016,2016/06/07,2016/06/23,14.35,,,2016/07/08,1,0,1,0,0,0,1,14.9,6.7
2014,2015,2015/06/12,2015/07/09,15.05,,,2015/08/07,1,0,1,0,0,0,1,16.6,6.03
2013,2014,2014/06/11,,,,,,0,0,0,0,0,0,0,18.5,0
2012,2013,2013/06/11,,,,,,0,0,0,0,0,0,0,12.7,0
2011,2012,2012/06/15,,,,,,0,0,0,0,0,0,0,10.7,0
2010,2011,2011/06/10,2011/08/09,10.15,,,,0.3,0,0.3,0,0,0,0.3,11.9,2.53
2009,2010,2010/06/18,,,,,,0,0,0,0,0,0,0,14.2,0
2008,2009,2009/05/21,,,,,,0,0,0,0,0,0,0,10.7,0
2007,2008,2008/06/13,,,2008/08/15,12.6,,0,0,0,1,0,1,1,14.2,7.06
2006,2007,2007/06/15,,,,,,0,0,0,0,0,0,0,18.9,0
2005,2006,2006/06/15,,,,,,0,0,0,0,0,0,0,8.47,0
2004,2005,2005/06/14,,,,,,0,0,0,0,0,0,0,5.62,0
2003,2004,,,,,,,0,0,0,0,0,0,0,9.49,0
2002,2003,2003/06/06,,,,,,0,0,0,0,0,0,0,10.8,0
2001,2002,2002/06/17,,,,,,0,0,0,0,0,0,0,14.9,0
2000,2001,2001/05/15,,,2001/08/08,13.85,,0,0,0,1.65,0.7,2.35,2.35,18,13.08
1999,2000,2000/05/26,,,2000/07/26,32.9,,0,0,0,1.16,1,2.16,2.16,44.7,4.83
1998,1999,1999/06/21,,,,,,0,0,0,0,0,0,0,40.6,0
1997,1998,,,,,,,0,0,0,2,1,3,3,47.9,6.26
1996,1997,1997/03/28,,,1997/05/12,89.5,,0,0,0,2.5,0,2.5,2.5,85.1,2.94
1995,1996,,,,,,,0,0,0,2.5,0,2.5,2.5,50.2,4.98
1994,1995,,,,,,,0,0,0,1.5,0,1.5,1.5,,
1993,1994,,,,,,,0,0,0,0.5,0,0.5,0.5,,
1992,1993,,,,,,,0,0,0,1,0,1,1,,
