盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/22,,,,,,0,0,0,0,0,0,0,18,0
2016,2017,2017/06/22,,,,,,0,0,0,0,0,0,0,16.4,0
2015,2016,2016/06/24,,,,,,0,0,0,0,0,0,0,14,0
2014,2015,2015/06/26,,,,,,0,0,0,0,0,0,0,26.9,0
2013,2014,2014/06/27,,,,,,0,0,0,0,0,0,0,42.8,0
2012,2013,2013/06/18,,,,,,0,0,0,0,0,0,0,21.5,0
2011,2012,2012/06/28,2012/08/02,7.11,,,,0.32,0,0.32,0,0,0,0.32,7.79,4.05
2010,2011,2011/06/09,2011/07/19,11.1,,,,0.4,0,0.4,0,0,0,0.4,11.2,3.57
2009,2010,2010/06/25,2010/09/09,15.6,2010/09/09,15.6,,0.1,0,0.1,0.3,0,0.3,0.4,15.4,2.59
2008,2009,2009/05/21,2009/09/08,11.77,2009/09/08,11.77,,0.1,0,0.1,0.45,0,0.45,0.55,11.5,4.8
2007,2008,2008/05/30,2008/09/25,10.58,2008/09/25,10.58,,0.1,0,0.1,0.3,0,0.3,0.4,14.2,2.82
2006,2007,2007/05/30,2007/07/17,35.19,2007/07/17,35.19,,1.5,0,1.5,0.3,0,0.3,1.8,25.9,6.95
2005,2006,2006/06/30,2006/08/11,20.63,2006/08/11,20.63,,1,0,1,1.5,0,1.5,2.5,23,10.89
2004,2005,2005/05/24,2005/07/26,22.24,2005/07/26,22.24,,1.5,0,1.5,0.5,0,0.5,2,22.9,8.73
2003,2004,2004/06/07,,,,,,1.35,0,1.35,1.25,0.75,2,3.35,,
2002,2003,,,,,,,1,0,1,0,0,0,1,,
