盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/19,,,,,,0.02,0.28,0.3,0,0,0,0.3,10.8,2.79
2016,2017,2017/06/08,,,,,,0,0,0,0,0,0,0,9.41,0
2015,2016,2016/06/06,2016/07/21,9.13,,,2016/08/10,0.17,0,0.17,0,0,0,0.17,9.19,1.85
2014,2015,2015/06/10,2015/11/09,9.56,2015/11/09,9.56,2015/11/27,0.39,0,0.39,0.42,0,0.42,0.8,10.3,7.77
2013,2014,2014/06/18,2014/08/04,12.55,2014/08/04,12.55,2014/08/22,0.2,0,0.2,0.44,0,0.44,0.65,12.8,5.03
2012,2013,2013/06/13,2013/07/10,10.8,,,,0.07,0.13,0.2,0,0,0,0.2,10.6,1.88
2011,2012,2012/06/22,,,,,,0,0,0,0,0,0,0,10.6,0
2010,2011,2011/06/24,2011/07/25,15.45,,,,0.24,0,0.24,0,0,0,0.24,17.2,1.39
2009,2010,2010/06/25,2010/07/23,30.3,,,,2.85,0,2.85,0,0,0,2.85,29.2,9.75
2008,2009,2009/06/16,2009/07/23,29.1,2009/07/23,29.1,,1.32,0,1.32,0.79,0.2,0.99,2.31,27,8.56
2007,2008,2008/06/13,2008/07/17,30.85,2008/07/17,30.85,,3.51,0,3.51,0.4,1,1.4,4.91,34.2,14.36
2006,2007,2007/06/13,2007/08/02,57,2007/08/02,57,,2.49,0,2.49,0.18,1,1.18,3.67,50.9,7.2
2005,2006,2006/06/15,2006/08/14,26.05,2006/08/14,26.05,,2.09,0,2.09,0.42,0,0.42,2.51,28.9,8.67
2004,2005,2005/06/07,2005/07/19,23.25,2005/07/19,23.25,,1.52,0,1.52,0.35,0,0.35,1.87,24,7.8
2003,2004,2004/06/09,2004/08/06,26.8,2004/08/06,26.8,,2.46,0,2.46,0.31,0.51,0.82,3.29,30.4,10.81
2002,2003,2003/05/27,2003/08/04,38.1,2003/08/04,38.1,,1.92,0,1.92,0,0.2,0.2,2.12,34.2,6.2
2001,2002,2002/06/04,2002/08/01,,2002/08/01,,,1,0,1,0.5,0.7,1.2,2.2,40.5,5.44
2000,2001,2001/05/31,,,2001/07/16,,,0,0,0,1.01,1.01,2.03,2.03,26.5,7.65
1999,2000,,,,,,,0,0,0,0,0,0,0,43.4,0
1998,1999,1999/06/07,,,1999/08/07,13.8,,0,0,0,0,1,1,1,26.7,3.74
1997,1998,1998/05/07,,,1998/06/24,101,,0,0,0,3.5,0,3.5,3.5,100.6,3.48
1996,1997,1997/06/07,,,1997/08/06,,,0,0,0,3,0,3,3,92,3.26
1995,1996,1996/06/01,,,1996/10/22,,,0,0,0,1.2,0,1.2,1.2,,
1994,1995,,,,,,,0,0,0,0,0,0,0,,
1993,1994,,,,,,,0,0,0,0,0,0,0,,
1992,1993,,,,,,,0,0,0,0,0,0,0,,
