盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/12,,,,,,0.5,1,1.5,0,0,0,1.5,29,5.18
2016,2017,2017/06/13,2017/07/26,38.15,,,2017/08/24,4.5,0,4.5,0,0,0,4.5,37.2,12.08
2015,2016,2016/06/03,2016/07/20,36.25,,,2016/08/11,0.2,1,1.2,0,0,0,1.2,33.8,3.55
2014,2015,2015/06/12,2015/07/29,32.9,,,2015/08/20,4,0,4,0,0,0,4,35.3,11.33
2013,2014,2014/06/06,2014/07/09,40,,,,4,0,4,0,0,0,4,44.7,8.94
2012,2013,2013/05/24,2013/06/27,71.6,,,,7.5,0,7.5,0,0,0,7.5,70.1,10.7
2011,2012,2012/05/29,2012/06/29,59.8,,,,3,0,3,0,0,0,3,63.5,4.72
2010,2011,2011/06/23,2011/07/11,78.6,,,,1.5,0,1.5,0,0,0,1.5,70.3,2.13
2009,2010,2010/06/09,2010/07/26,48.1,,,,2.5,0,2.5,0,0,0,2.5,62.1,4.03
2008,2009,2009/06/10,,,2009/08/07,57.8,,0,0,0,1.5,0,1.5,1.5,47.8,3.14
2007,2008,2008/06/13,2008/09/15,23.85,2008/09/15,23.85,,1,0,1,3,0,3,4,51.6,7.75
2006,2007,2007/06/21,2007/07/12,81,,,,7,0,7,0,0,0,7,71.3,9.81
2005,2006,2006/06/09,2006/08/21,62.3,2006/08/21,62.3,,3,0,3,1,0,1,4,50.6,7.91
2004,2005,2005/06/10,2005/08/02,21.65,2005/08/02,21.65,,1,0,1,1.5,0.5,2,3,28.9,10.37
2003,2004,2004/05/05,,,2004/07/14,26.2,,0,0,0,0.85,0.35,1.2,1.2,30.1,3.99
2002,2003,2003/05/23,2003/08/25,10.75,2003/08/25,10.75,,0.6,0,0.6,0,0.4,0.4,1,10.6,9.42
2001,2002,2002/06/20,,,,,,0,0,0,0,0,0,0,7.09,0
2000,2001,2001/05/18,2001/06/26,,2001/06/26,,,0.6,0,0.6,0,0.3,0.3,0.9,3.74,24.06
1999,2000,2000/04/19,2000/06/22,,2000/06/22,,,0.5,0,0.5,0.8,0.7,1.5,2,10.3,19.38
1998,1999,1999/03/03,,,,,,0,0,0,2,0,2,2,15,13.34
