盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/13,,,,,,1,0.3,1.3,0,0,0,1.3,29.2,4.44
2016,2017,2017/06/13,2017/09/28,25.95,,,2017/10/25,0.8,0.4,1.2,0,0,0,1.2,27.1,4.42
2015,2016,2016/06/14,2016/09/26,24.45,,,2016/10/25,1,0,1,0,0,0,1,25.7,3.9
2014,2015,2015/06/18,2015/09/17,22.95,,,2015/10/23,1,0,1,0,0,0,1,25.6,3.9
2013,2014,2014/06/11,2014/09/05,23.35,,,2014/10/22,0.4,0,0.4,0,0,0,0.4,22.2,1.81
2012,2013,2013/06/11,2013/09/24,16.4,,,,0.2,0,0.2,0,0,0,0.2,15.9,1.26
2011,2012,2012/06/12,2012/09/25,15.95,2012/09/25,15.95,,0.5,0,0.5,0.5,0,0.5,1,17.2,5.8
2010,2011,2011/06/17,2011/09/28,18.4,2011/09/28,18.4,,1.25,0,1.25,1,0,1,2.25,27.3,8.23
2009,2010,2010/06/18,2010/09/13,34.15,,,,2,0,2,0,0,0,2,36.4,5.48
2008,2009,2009/06/10,2009/09/07,32.7,2009/09/07,32.7,,0.2,0,0.2,0.8,0,0.8,1,25.5,3.93
2007,2008,2008/06/19,2008/09/15,16.25,2008/09/15,16.25,,0.9,0,0.9,0.1,0,0.1,1,18.9,5.28
2006,2007,2007/06/13,,,,,,0,0,0,0,0,0,0,28.9,0
2005,2006,2006/06/14,,,,,,0,0,0,0,0,0,0,16.6,0
2004,2005,2005/06/16,2005/11/17,13.45,2005/11/17,13.45,,0.5,0,0.5,0.3,0.2,0.5,1,21.9,4.56
2003,2004,2004/06/15,2004/09/02,36.9,2004/09/02,36.9,,0.5,0,0.5,0.5,1,1.5,2,37.8,5.27
2002,2003,2003/04/07,2003/07/17,30.8,2003/07/17,30.8,,2,0,2,0.5,0,0.5,2.5,32.2,7.76
2001,2002,2002/05/24,,,2002/06/25,,,0,0,0,1.51,1,2.51,2.51,41.5,6.05
2000,2001,,,,,,,0,0,0,1.42,1,2.42,2.42,,
1999,2000,,,,,,,0,0,0,0,0,0,0,,
