盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/28,,,,,,2,0,2,0,0,0,2,52.5,3.81
2016,2017,2017/06/16,2017/07/05,49.6,,,2017/07/27,2.4,0,2.4,0,0,0,2.4,51.8,4.64
2015,2016,2016/06/16,2016/07/06,44,,,2016/07/28,2.7,0,2.7,0,0,0,2.7,45.7,5.91
2014,2015,2015/06/16,2015/07/07,55.7,,,2015/07/30,3,0,3,0,0,0,3,59.9,5.01
2013,2014,2014/06/12,2014/07/01,68.5,,,,2.5,0,2.5,0,0,0,2.5,76.1,3.28
2012,2013,2013/06/14,2013/07/02,58.4,,,,2.3,0,2.3,0,0,0,2.3,70,3.28
2011,2012,2012/06/15,2012/07/03,47.4,,,,2.2,0,2.2,0,0,0,2.2,50.8,4.33
2010,2011,2011/06/10,2011/06/28,52.9,,,,2,0,2,0,0,0,2,48.9,4.09
2009,2010,2010/06/11,2010/06/29,27.45,,,,1.5,0,1.5,0,0,0,1.5,33.1,4.53
2008,2009,2009/06/16,2009/07/02,17.35,,,,1,0,1,0,0,0,1,19.4,5.17
2007,2008,2008/06/06,2008/06/25,18.8,,,,1,0,1,0,0,0,1,19.6,5.1
2006,2007,2007/06/08,2007/06/27,20.05,,,,0.8,0,0.8,0,0,0,0.8,22.5,3.56
2005,2006,2006/06/23,2006/07/18,16.2,,,,1,0,1,0,0,0,1,18,5.55
2004,2005,2005/05/06,2005/06/07,16.6,,,,0.6,0,0.6,0,0,0,0.6,19.3,3.1
2003,2004,2004/05/07,2004/06/10,18,,,,0.8,0,0.8,0,0,0,0.8,19.8,4.04
2002,2003,2003/05/23,2003/06/30,18.5,,,,0.8,0,0.8,0,0,0,0.8,21.3,3.75
2001,2002,2002/06/06,2002/07/01,,,,,0.6,0,0.6,0,0,0,0.6,17.2,3.49
2000,2001,2001/05/10,2001/06/11,,,,,0.6,0,0.6,0,0,0,0.6,13,4.61
1999,2000,2000/05/18,2000/06/09,,,,,1.2,0,1.2,0,0,0,1.2,16.3,7.37
1998,1999,1999/05/21,1999/06/07,,,,,1.5,0,1.5,0,0,0,1.5,25.9,5.78
1997,1998,,,,,,,1.5,0,1.5,1,0,1,2.5,40.8,6.13
1996,1997,1997/05/23,1997/06/14,,1997/07/19,,,2,0,2,1,0,1,3,58.2,5.16
1995,1996,1996/05/10,1996/06/01,,1996/07/27,,,2.5,0,2.5,1,0,1,3.5,64.4,5.44
1994,1995,1995/05/12,1995/06/01,76,1995/07/22,62.5,,2.5,0,2.5,1.5,0,1.5,4,82.3,4.86
1993,1994,1994/05/27,1994/06/15,,,,,3,0,3,1.79,0.41,2.2,5.2,139.1,3.74
1992,1993,1993/05/07,1993/05/22,119.5,1993/08/21,94.5,,2.5,0,2.5,1.92,0.58,2.5,5,116.5,4.29
1991,1992,1992/04/24,1992/05/25,152,1992/07/22,128.5,,2,0,2,2.24,0.76,3,5,142.6,3.51
1990,1991,1991/04/26,1991/09/18,143.5,1991/09/18,143.5,,1.5,0,1.5,2,1,3,4.5,162.5,2.77
1989,1990,1990/04/23,,,1990/08/06,118,,0,0,0,5,0,5,5,,
1988,1989,,,,,,,0,0,0,2,0,2,2,,
1987,1988,,,,,,,1,0,1,1.17,0,1.17,2.17,,
1986,1987,,,,,,,1,0,1,1,0,1,2,,
1985,1986,,,,,,,0,0,0,2,0,2,2,,
