盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/21,,,,,,0.2,0,0.2,0,0,0,0.2,10.7,1.87
2016,2017,2017/06/12,2017/09/07,11.4,,,2017/10/13,0.2,0,0.2,0,0,0,0.2,11,1.82
2015,2016,2016/06/21,2016/09/07,10.4,,,2016/10/07,0.5,0,0.5,0,0,0,0.5,10.8,4.63
2014,2015,2015/06/24,2015/08/27,9.8,,,2015/09/25,0.5,0,0.5,0,0,0,0.5,13.1,3.83
2013,2014,2014/06/19,2014/08/18,15.75,,,2014/09/17,0.5,0,0.5,0,0,0,0.5,15.8,3.17
2012,2013,2013/06/28,2013/08/13,13.9,,,,0.7,0,0.7,0,0,0,0.7,13.8,5.06
2011,2012,2012/06/28,2012/08/14,12.95,,,,0.7,0,0.7,0,0,0,0.7,12.6,5.55
2010,2011,2011/06/28,2011/08/01,12.5,,,,0.7,0,0.7,0,0,0,0.7,12.8,5.48
2009,2010,2010/06/24,2010/09/13,14.45,,,,0.6,0,0.6,0,0,0,0.6,13.6,4.42
2008,2009,2009/06/22,2009/09/11,10.6,,,,0.7,0,0.7,0,0,0,0.7,10,6.99
2007,2008,2008/06/25,2008/09/15,8.5,,,,0.6,0,0.6,0,0,0,0.6,11.3,5.32
2006,2007,2007/06/27,2007/09/17,18.7,,,,0.6,0,0.6,0,0,0,0.6,16.8,3.58
2005,2006,2006/06/23,2006/08/14,5.24,,,,0.15,0,0.15,0,0,0,0.15,6.51,2.3
2004,2005,2005/06/29,,,2005/09/09,7.31,,0,0,0,0.25,0,0.25,0.25,8.73,2.86
2003,2004,2004/06/24,,,,,,0,0,0,0,0,0,0,11.7,0
2002,2003,2003/06/25,,,,,,0,0,0,0,0,0,0,7.62,0
2001,2002,2002/06/26,,,,,,0,0,0,0,0,0,0,5.18,0
2000,2001,2001/06/22,,,,,,0,0,0,0,0,0,0,5.47,0
1999,2000,2000/05/26,,,2000/08/10,9.5,,0,0,0,1,0,1,1,14.6,6.85
1998,1999,1999/06/03,,,1999/07/23,,,0,0,0,2.6,1.2,3.8,3.8,51.3,7.41
1997,1998,,,,,,,0,0,0,2.85,1,3.85,3.85,84.3,4.56
1996,1997,1997/06/16,,,1997/07/22,71.5,,0,0,0,2.6,0,2.6,2.6,68.9,3.77
1995,1996,1996/06/18,,,1996/07/31,36.5,,0,0,0,3,0,3,3,42,7.13
1994,1995,1995/04/29,,,1995/09/16,31.83,,0,0,0,1.5,0,1.5,1.5,32.8,4.58
1993,1994,1994/06/20,,,1994/12/02,,,0,0,0,1.1,0,1.1,1.1,,
1992,1993,1993/07/31,1993/10/05,,,,,0.5,0,0.5,0,0,0,0.5,,
