盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/08,2018/07/05,8.45,,,2018/08/03,0.5,0,0.5,0,0,0,0.5,9.4,5.32
2016,2017,2017/06/08,2017/08/21,10.6,,,2017/09/12,0.5,0,0.5,0,0,0,0.5,9.58,5.22
2015,2016,2016/06/14,,,,,,0,0,0,0,0,0,0,5.58,0
2014,2015,2015/06/10,,,,,,0,0,0,0,0,0,0,5.4,0
2013,2014,2014/06/12,2014/08/29,10.3,2014/08/29,10.3,2014/09/24,0.15,0,0.15,1.15,0,1.15,1.3,10.1,12.91
2012,2013,2013/06/07,,,,,,0,0,0,0,0,0,0,9.5,0
2011,2012,2012/06/15,,,,,,0,0,0,0,0,0,0,2.53,0
2010,2011,2011/06/10,,,,,,0,0,0,0,0,0,0,3.7,0
2009,2010,2010/06/18,,,,,,0,0,0,0,0,0,0,6.36,0
2008,2009,2009/06/10,,,,,,0,0,0,0,0,0,0,6.67,0
2007,2008,2008/06/13,2008/08/05,8.04,2008/08/05,8.04,,0.75,0,0.75,0.75,0,0.75,1.5,9.75,15.38
2006,2007,2007/06/15,,,,,,0,0,0,0,0,0,0,8.77,0
2005,2006,2006/06/15,,,,,,0,0,0,0,0,0,0,5.56,0
2004,2005,2005/05/26,,,2005/07/20,10.7,,0,0,0,0.34,0,0.34,0.34,9.08,3.69
2003,2004,2004/06/10,,,,,,0,0,0,0,0,0,0,14.3,0
2002,2003,2003/06/12,,,,,,0,0,0,0,0,0,0,12.3,0
2001,2002,2002/06/26,,,,,,0,0,0,0,0,0,0,21.7,0
2000,2001,2001/05/25,,,,,,0,0,0,0,0,0,0,10.9,0
1999,2000,2000/05/03,,,,,,0,0,0,0,0,0,0,,
1998,1999,1999/06/24,,,,,,0,0,0,0,0,0,0,,
