盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/15,2018/07/23(即將除息),24.95,,,2018/08/17(即將發放),0,0.51,0.51,0,0,0,0.51,28.6,1.79
2016,2017,2017/06/14,2017/08/17,39.55,,,2017/09/13,0.66,0,0.66,0,0,0,0.66,36.2,1.82
2015,2016,2016/06/22,2016/09/01,31.5,,,2016/09/30,0.73,0,0.73,0,0,0,0.73,30.5,2.4
2014,2015,2015/06/10,2015/08/27,20.55,,,2015/09/30,0.31,0,0.31,0,0,0,0.31,30.6,1.02
2013,2014,2014/06/30,2014/08/05,46.55,,,2014/09/15,2,0,2,0,0,0,2,45.4,4.41
2012,2013,2013/06/18,2013/07/24,56.9,,,,0.7,0,0.7,0,0,0,0.7,50.4,1.39
2011,2012,2012/06/13,2012/07/23,26.75,,,,0.8,0,0.8,0,0,0,0.8,34.1,2.34
2010,2011,2011/06/15,2011/08/05,37.6,,,,2.77,0,2.77,0,0,0,2.77,47.6,5.82
2009,2010,2010/06/15,2010/08/12,48.9,,,,1.88,0,1.88,0,0,0,1.88,59.6,3.16
2008,2009,2009/06/16,2009/07/14,51.7,,,,1.18,0,1.18,0,0,0,1.18,48.7,2.43
2007,2008,2008/06/06,2008/08/08,64.1,2008/08/08,64.1,,1.2,0,1.2,0.5,0,0.5,1.7,57.1,2.98
2006,2007,2007/05/10,,,,,,0.6,0,0.6,0.3,0,0.3,0.9,104.6,0.86
