盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/19,2018/07/16,82.7,,,2018/08/17,3.95,0,3.95,0,0,0,3.95,89.6,4.41
2016,2017,2017/06/20,2017/07/26,125.5,,,2017/08/31,7.5,0,7.5,0,0,0,7.5,119.1,6.3
2015,2016,2016/06/13,2016/08/24,182.5,,,2016/09/14,5.5,0,5.5,0,0,0,5.5,139.8,3.93
2014,2015,2015/06/15,2015/08/27,45.1,,,2015/09/15,4,0,4,0,0,0,4,83.2,4.81
2013,2014,2014/06/23,2014/08/28,106,,,2014/09/15,3.2,0,3.2,0,0,0,3.2,93.2,3.43
2012,2013,2013/06/17,2013/08/26,60.3,,,,3,0,3,0,0,0,3,64.3,4.67
2011,2012,2012/06/21,2012/08/24,28.45,,,,1.5,0,1.5,0,0,0,1.5,33.3,4.5
2010,2011,2011/06/15,2011/08/10,26.2,,,,2.5,0,2.5,0,0,0,2.5,32.8,7.61
2009,2010,2010/06/04,2010/08/03,46.9,,,,2.5,0,2.5,0,0,0,2.5,45,5.55
2008,2009,2009/06/16,2009/07/29,40.05,,,,2.2,0,2.2,0,0,0,2.2,34.7,6.33
2007,2008,2008/06/13,2008/09/02,18.91,2008/09/02,18.91,,1,0,1,1,0,1,2,22.8,8.76
2006,2007,2007/06/13,2007/07/23,62.7,,,,1.1,0,1.1,0,0,0,1.1,40,2.75
2005,2006,2006/06/09,2006/08/15,17.25,2006/08/15,17.25,,1,0,1,1,0,1,2,23.5,8.52
2004,2005,2005/06/10,2005/09/15,35.87,2005/09/15,35.87,,1.75,0,1.75,1.75,0,1.75,3.5,53,6.6
2003,2004,,,,,,,1.58,0,1.58,1.58,0,1.58,3.15,66.6,4.73
2002,2003,2003/06/25,2003/09/01,64.17,2003/09/01,64.17,,0.54,0,0.54,1.09,0,1.09,1.63,48.5,3.36
2001,2002,2002/06/14,2002/08/26,,2002/08/26,,,1,0,1,1.9,0,1.9,2.9,,
1999,2000,,,,,,,0,0,0,3,0,3,3,,
