盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/06,2018/07/02,32.3,,,2018/07/27(即將發放),1.2,0,1.2,0,0,0,1.2,35,3.42
2016,2017,2017/06/13,2017/07/06,31.15,,,2017/07/28,0,0.75,0.75,0,0,0,0.75,32.8,2.29
2015,2016,2016/06/08,2016/07/07,23.8,,,2016/07/29,1,0,1,0,0,0,1,24.4,4.1
2014,2015,2015/06/10,2015/07/14,38.45,,,2015/08/14,2.2,0,2.2,0,0,0,2.2,39.8,5.52
2013,2014,2014/06/09,2014/07/14,47.95,,,,2,0,2,0,0,0,2,49.2,4.06
2012,2013,2013/06/24,2013/07/15,44.7,,,,2.5,0,2.5,0,0,0,2.5,48,5.21
2011,2012,2012/06/14,2012/07/12,45.6,,,,3,0,3,0,0,0,3,46.9,6.39
2010,2011,2011/06/08,2011/07/18,56.7,,,,5,0,5,0,0,0,5,54.4,9.19
2009,2010,2010/06/03,2010/07/19,59.8,,,,5,0,5,0,0,0,5,63.1,7.93
2008,2009,2009/06/02,2009/07/20,63.7,,,,6,0,6,0,0,0,6,58,10.34
2007,2008,2008/06/03,2008/09/04,71.5,,,,8.5,0,8.5,0,0,0,8.5,72.5,11.72
2006,2007,2007/06/05,2007/09/21,91,,,,5,0,5,0,0,0,5,73.8,6.77
2005,2006,2006/05/23,2006/07/24,32,,,,5,0,5,0,0,0,5,36.2,13.8
2004,2005,2005/06/08,2005/07/27,37.1,2005/07/27,37.1,,4,0,4,2,0,2,6,44.1,13.6
2003,2004,2004/05/21,2004/07/07,38.3,2004/07/07,38.3,,2,0,2,1.5,0,1.5,3.5,47.2,7.42
2002,2003,2003/05/26,2003/07/18,15.9,,,,0.5,0,0.5,0,0,0,0.5,19.4,2.58
2001,2002,2002/05/30,2002/07/18,8.2,,,,0.7,0,0.7,0,0,0,0.7,8.24,8.5
2000,2001,2001/04/27,2001/06/18,7.5,,,,0.8,0,0.8,0,0,0,0.8,7.77,10.3
1999,2000,2000/05/05,2000/06/27,9.7,2000/06/27,9.7,,0.25,0,0.25,0.25,0,0.25,0.5,10.6,4.73
1998,1999,1999/05/17,,,1999/07/27,10.96,,0,0,0,0.4,0,0.4,0.4,13.1,3.05
1997,1998,1998/05/15,1998/06/20,14.35,1998/06/20,13.65,,0.5,0,0.5,0.5,0,0.5,1,15.7,6.35
1996,1997,1997/05/07,1997/06/14,21.5,1997/06/14,20.5,,0.5,0,0.5,0.5,0,0.5,1,23,4.35
1995,1996,1996/05/15,1996/06/11,26.65,1996/06/11,24.79,,0.75,0,0.75,0.75,0,0.75,1.5,27,5.55
1994,1995,1995/05/12,1995/05/27,32.3,1995/07/21,23.5,,0.5,0,0.5,0.5,0,0.5,1,32,3.12
1993,1994,1994/05/18,,,1994/10/08,29.9,,0,0,0,0.1,0.4,0.5,0.5,31.4,1.59
1992,1993,1993/05/29,,,1993/11/08,21.3,,0,0,0,0.72,0,0.72,0.72,25.5,2.82
1991,1992,1992/05/15,1992/06/08,33.5,1993/07/07,21,,0.5,0,0.5,1.5,0,1.5,2,31.2,6.4
1990,1991,1991/05/15,1991/05/30,38.5,1991/08/07,36.5,,1,0,1,1,0,1,2,36.9,5.43
1989,1990,,,,,,,0,0,0,4,0,4,4,,
1988,1989,,,,,,,0,0,0,4.08,0,4.08,4.08,,
1987,1988,,,,,,,0,0,0,13.32,0,13.32,13.32,,
1986,1987,,,,,,,0,0,0,4.5,0,4.5,4.5,,
1983,1984,,,,,,,0,0,0,0.77,0,0.77,0.77,,
