盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/21,2018/07/10,24.85,,,2018/08/08(即將發放),0.2,0,0.2,0,0,0,0.2,27.8,0.72
2016,2017,2017/06/15,2017/07/13,32.8,,,2017/08/10,0.12,0,0.12,0,0,0,0.12,32.8,0.35
2015,2016,2016/06/14,,,,,,0,0,0,0,0,0,0,15,0
2014,2015,2015/06/11,,,,,,0,0,0,0,0,0,0,10.8,0
2013,2014,2014/06/17,,,,,,0,0,0,0,0,0,0,16.9,0
2012,2013,2013/06/14,,,,,,0,0,0,0,0,0,0,17.8,0
2011,2012,2012/05/04,,,,,,0,0,0,0,0,0,0,11.1,0
2010,2011,2011/06/09,,,,,,0,0,0,0,0,0,0,11.9,0
2009,2010,2010/06/17,,,,,,0,0,0,0,0,0,0,18.7,0
2008,2009,2009/06/10,2009/07/15,13.4,2009/07/15,13.4,,0.43,0,0.43,0.11,0,0.11,0.54,14.2,3.79
2007,2008,2008/06/19,2008/07/16,13.4,,,,0.75,0,0.75,0,0,0,0.75,15.5,4.84
2006,2007,2007/06/11,2007/07/09,20.75,,,,0.65,0,0.65,0,0,0,0.65,20.4,3.17
2005,2006,2006/06/02,,,,,,0,0,0,0,0,0,0,12.6,0
2004,2005,,,,,,,0,0,0,0,0,0,0,12,0
2003,2004,,,,,,,0,0,0,0,0,0,0,15.4,0
2002,2003,2003/05/23,,,,,,0,0,0,0,0,0,0,13,0
2001,2002,2002/04/23,,,2002/06/13,19.7,,0,0,0,1,0,1,1,25.6,3.91
2000,2001,,,,,,,0,0,0,2,0,2,2,44.3,4.52
1999,2000,2000/04/28,,,2000/06/08,,,0,0,0,2,0,2,2,96.7,2.07
1998,1999,1999/04/27,,,,,,0,0,0,0,0,0,0,36.3,0
1997,1998,1998/06/18,,,,,,0,0,0,0,0,0,0,31.2,0
1996,1997,,,,,,,0,0,0,0,1,1,1,36,2.78
1995,1996,1996/04/25,,,1996/05/22,28.09,,0,0,0,1,1,2,2,30.4,6.58
1994,1995,1995/04/22,,,1995/05/31,38.75,,0,0,0,1,1,2,2,42.2,4.74
1993,1994,1994/02/19,,,1994/04/23,67.28,,0,0,0,1,1,2,2,69.2,2.89
1992,1993,,,,,,,0,0,0,1,1,2,2,61.1,3.28
1991,1992,1992/04/25,,,1992/06/14,,,0,0,0,2,1,3,3,100.5,2.99
1990,1991,,,,,,,0,0,0,2.2,0,2.2,2.2,166,1.33
1989,1990,,,,,,,0,0,0,1.8,0,1.8,1.8,,
1988,1989,,,,,,,0,0,0,4,2,6,6,,
1987,1988,,,,,,,0,0,0,20,0,20,20,,
