盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,,2018/04/02,12.44,,,,0.19,0,0.19,0,0,0,0.19,12.3,1.58
2016,2017,,2017/09/29,11.2,,,,0.19,0,0.19,0,0,0,0.19,12.4,1.51
2016,2017,,2017/03/31,12.99,,,,0.19,0,0.19,0,0,0,0.19,12.4,1.57
2015,2016,,2016/10/03,13.78,,,,0.19,0,0.19,0,0,0,0.19,13.5,1.44
2015,2016,,2016/04/07,13.19,,,,0.2,0,0.2,0,0,0,0.2,13.5,1.51
2014,2015,,2015/10/07,12.53,,,,0.2,0,0.2,0,0,0,0.2,13.3,1.47
2014,2015,,2015/04/09,14.63,,,,0.2,0,0.2,0,0,0,0.2,13.3,1.5
2013,2014,,2014/10/02,12.8,,,,0.19,0,0.19,0,0,0,0.19,12.5,1.54
2013,2014,,2014/04/09,12.19,,,,0.19,0,0.19,0,0,0,0.19,12.5,1.56
2012,2013,,2013/10/03,13.84,,,,0.19,0,0.19,0,0,0,0.19,14.2,1.31
2012,2013,,2013/04/09,14.99,,,,0.19,0,0.19,0,0,0,0.19,14.2,1.32
2011,2012,,2012/10/03,13.25,,,,0.19,0,0.19,0,0,0,0.19,12.8,1.49
2011,2012,,2012/04/05,12.4,,,,0.18,0,0.18,0,0,0,0.18,12.8,1.4
2010,2011,,2011/09/29,11.03,,,,0.18,0,0.18,0,0,0,0.18,11.2,1.65
2010,2011,,2011/03/31,10.94,,,,0.19,0,0.19,0,0,0,0.19,11.2,1.68
2009,2010,,2010/09/30,10.84,,,,0.19,0,0.19,0,0,0,0.19,10.6,1.76
2009,2010,,2010/04/06,10.37,,,,0.24,0,0.24,0,0,0,0.24,10.6,2.28
2008,2009,,2009/10/01,10.17,,,,0.18,0,0.18,0,0,0,0.18,10,1.76
2008,2009,,2009/04/02,9.4,,,,0.22,0,0.22,0,0,0,0.22,10,2.2
2007,2008,,2008/10/02,9.48,,,,0.2,0,0.2,0,0,0,0.2,9.88,2.04
2007,2008,,2008/04/02,11.19,,,,0.21,0,0.21,0,0,0,0.21,9.88,2.08
2006,2007,,2007/10/02,10.49,,,,0.19,0,0.19,0,0,0,0.19,11.4,1.65
2006,2007,,2007/04/03,12.4,,,,0.29,0,0.29,0,0,0,0.29,11.4,2.55
