盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/21,2018/07/18(即將除息),,,,2018/08/15(即將發放),2,0,2,0,0,0,2,34.6,5.78
2016,2017,2017/06/08,2017/07/19,43.75,,,2017/08/15,2.2,0,2.2,0,0,0,2.2,42,5.23
2015,2016,2016/05/31,2016/07/19,37.25,,,2016/08/16,2,0,2,0,0,0,2,36.6,5.46
2014,2015,2015/05/28,2015/06/16,19.2,,,2015/07/10,2,0,2,0,0,0,2,20.7,9.68
2013,2014,2014/06/20,2014/07/23,24.2,,,,0.5,0,0.5,0,0,0,0.5,22.7,2.2
2012,2013,2013/06/14,2013/08/27,11.75,,,,0.3,0,0.3,0,0,0,0.3,11.3,2.65
2011,2012,2012/06/14,,,,,,0,0,0,0,0,0,0,8.15,0
2010,2011,2011/06/16,2011/07/28,11.25,2011/07/28,11.25,,1,0,1,0.1,0,0.1,1.1,11.4,9.62
2009,2010,2010/06/15,2010/07/28,15.15,2010/07/28,15.15,,1,0,1,0.1,0,0.1,1.1,15.1,7.28
2008,2009,2009/06/19,,,,,,0,0,0,0,0,0,0,10.2,0
2007,2008,2008/05/15,2008/07/03,15.2,2008/07/03,15.2,,1.6,0,1.6,0.4,0,0.4,2,14.2,14.13
2006,2007,2007/05/15,2007/07/04,19.2,2007/07/04,19.2,,1.8,0,1.8,0.2,0,0.2,2,19.8,10.12
2005,2006,2006/05/18,2006/07/04,17.75,2006/07/04,17.75,,2,0,2,0.1,0,0.1,2.1,17.8,11.81
2004,2005,2005/05/10,2005/06/28,18.7,2005/06/28,18.7,,1,0,1,0.1,0,0.1,1.1,18.3,6.01
2003,2004,2004/06/15,2004/07/20,14.3,2004/07/20,14.3,,0.6,0,0.6,0.4,0,0.4,1,15.6,6.4
2002,2003,2003/06/25,2003/10/30,14.5,2003/10/30,14.5,,0.5,0,0.5,1.2,0,1.2,1.7,19.9,8.55
2001,2002,2002/06/25,2002/09/19,,2002/09/19,,,0.5,0,0.5,2,0,2,2.5,44.5,5.62
2000,2001,2001/04/12,,,2001/07/17,,,0,0,0,2,0,2,2,44.4,4.5
1999,2000,2000/05/18,,,2000/12/11,,,0,0,0,3,0,3,3,,
1998,1999,1999/05/05,,,1999/07/17,,,0,0,0,4,0,4,4,,
