盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/05/29,,,,,,0,0,0,0,0,0,0,6.07,0
2016,2017,2017/05/26,,,,,,0,0,0,0,0,0,0,7.03,0
2015,2016,2016/05/31,,,,,,0,0,0,0,0,0,0,8.19,0
2014,2015,2015/06/17,,,,,,0,0,0,0,0,0,0,9.23,0
2013,2014,2014/06/18,,,,,,0,0,0,0,0,0,0,13.7,0
2012,2013,2013/06/19,,,,,,0,0,0,0,0,0,0,13.6,0
2011,2012,2012/06/27,,,,,,0,0,0,0,0,0,0,16.2,0
2010,2011,2011/06/22,2011/07/29,35.3,2011/07/29,35.3,,1,0,1,0.12,0,0.12,1.12,38,2.95
2009,2010,2010/06/15,,,,,,0,0,0,0,0,0,0,56.8,0
