盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/28,2018/07/30,25.4,,,2018/08/30(即將發放),1.7,0,1.7,0,0,0,1.7,26.2,6.5
2016,2017,2017/06/27,2017/07/28,26.2,,,2017/08/30,1.5,0,1.5,0,0,0,1.5,25.7,5.84
2015,2016,2016/06/28,2016/07/29,25.1,,,2016/08/31,1.5,0,1.5,0,0,0,1.5,25.6,5.87
2014,2015,2015/06/25,2015/07/23,28.25,,,2015/08/28,2,0,2,0,0,0,2,29.9,6.69
2013,2014,2014/06/24,2014/07/21,35,,,2014/08/29,2,0,2,0,0,0,2,34.8,5.74
2012,2013,2013/06/25,2013/07/22,33.1,,,,2,0,2,0,0,0,2,34.3,5.83
2011,2012,2012/06/26,2012/07/23,34.15,,,,1.8,0,1.8,0,0,0,1.8,34.8,5.17
2010,2011,2011/06/27,2011/07/25,42.5,,,,1.5,0,1.5,0,0,0,1.5,34.5,4.34
2009,2010,2010/06/25,2010/07/19,23.05,,,,1,0,1,0,0,0,1,25.8,3.87
2008,2009,2009/06/26,2009/07/20,21,,,,0.9,0,0.9,0,0,0,0.9,18.8,4.78
2007,2008,2008/06/27,2008/07/21,13.35,,,,1,0,1,0,0,0,1,14.1,7.09
2006,2007,2007/06/22,2007/07/19,17.55,,,,1,0,1,0,0,0,1,17.2,5.81
2005,2006,2006/06/23,2006/07/18,14.45,,,,1,0,1,0,0,0,1,15.2,6.57
2004,2005,2005/06/17,2005/07/13,14.95,,,,1,0,1,0,0,0,1,15.8,6.32
2003,2004,2004/06/15,2004/07/15,19.5,,,,1.5,0,1.5,0,0,0,1.5,19.9,7.55
2002,2003,2003/06/11,2003/07/14,14.7,,,,1,0,1,0,0,0,1,16.2,6.19
2001,2002,2002/06/18,2002/07/08,14.1,,,,1,0,1,0,0,0,1,12.4,8.06
2000,2001,2001/05/15,2001/06/27,8.1,,,,1,0,1,0,0,0,1,8.42,11.88
1999,2000,2000/06/03,2000/06/27,12.85,,,,1.5,0,1.5,0,0,0,1.5,12.5,12
1998,1999,1999/06/05,1999/07/17,,,,,1,0,1,0,0,0,1,14.7,6.79
1997,1998,1998/06/06,1998/07/20,28.2,1998/08/18,,,0.2,0,0.2,1.3,0,1.3,1.5,27.4,5.48
1996,1997,1997/06/07,,,1997/08/09,29.6,,0,0,0,2,0,2,2,33.5,5.96
1995,1996,,,,,,,1.5,0,1.5,0,0,0,1.5,31.2,4.8
1994,1995,,,,,,,0.5,0,0.5,2,0,2,2.5,39.2,6.38
1993,1994,1994/05/14,1994/06/14,55.5,1994/07/21,44.6,,0.5,0,0.5,2,0,2,2.5,56.8,4.4
1992,1993,1993/05/08,1993/06/08,46,,,,2,0,2,0,0,0,2,47.1,4.24
1991,1992,1992/05/08,1992/06/08,64,,,,2,0,2,0,0,0,2,54.7,3.66
1990,1991,1991/04/26,1991/05/25,88,1991/10/14,57.5,,3,0,3,1,0,1,4,70.2,5.7
1989,1990,,,,,,,2.5,0,2.5,0,0,0,2.5,,
1988,1989,,,,,,,0,0,0,5,0,5,5,,
1987,1988,,,,,,,1.5,0,1.5,0,0,0,1.5,,
1986,1987,,,,,,,0,0,0,12.5,0,12.5,12.5,,
1984,1985,,,,,,,0,0,0,11.6,0,11.6,11.6,,
