盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/11,,,,,,1.49,2.01,3.5,0,0,0,3.5,45,7.77
2016,2017,2017/06/13,2017/09/11,43.05,,,2017/10/05,4.87,0.13,5,0,0,0,5,46.8,10.68
2015,2016,2016/06/13,2016/07/13,47.3,,,2016/08/05,6,0,6,0,0,0,6,45.4,13.2
2014,2015,2015/06/11,2015/09/21,43.75,2015/09/21,43.75,2015/10/23,4,0,4,3,0,3,7,60.9,11.49
2013,2014,2014/06/11,2014/08/21,47.4,2014/08/21,47.4,2014/09/26,2,0,2,5,0,5,7,62,11.29
2012,2013,2013/06/13,2013/07/18,65.3,,,,3,0,3,0,0,0,3,64.2,4.67
2011,2012,2012/06/12,2012/08/22,48.8,,,,3,0,3,0,0,0,3,49.5,6.06
2010,2011,2011/06/09,2011/07/26,65.9,,,,6.1,0,6.1,0,0,0,6.1,59.4,10.27
2009,2010,2010/06/14,2010/07/26,49.75,,,,5.04,0,5.04,0,0,0,5.04,53,9.51
2008,2009,2009/06/10,2009/07/29,36.65,2009/07/29,36.65,,2.3,0,2.3,0.42,0.04,0.46,2.76,31.9,8.64
2007,2008,2008/06/13,2008/08/07,22.1,2008/08/07,22.1,,3.01,0,3.01,0.43,0.07,0.5,3.51,31,11.32
2006,2007,2007/06/15,2007/08/09,39.95,2007/08/09,39.95,,0.45,0,0.45,3.76,0.23,3.99,4.44,42.8,10.36
2005,2006,2006/04/26,2006/07/07,46.5,2006/07/07,46.5,,0.2,0,0.2,1.58,0.19,1.77,1.97,37,5.33
2004,2005,2005/06/10,2005/10/05,19.8,2005/10/05,19.8,,0.1,0,0.1,0.58,0.82,1.4,1.5,23.1,6.5
2003,2004,2004/06/03,,,,,,0,0,0,0,0,0,0,19.2,0
2002,2003,2003/04/30,,,,,,0,0,0,0,0,0,0,5.98,0
2001,2002,2002/06/20,,,,,,0,0,0,0,0,0,0,3.03,0
2000,2001,2001/06/20,,,,,,0.2,0,0.2,0.24,0.26,0.5,0.7,2.64,26.52
1999,2000,2000/09/15,,,,,,0,0,0,0,0,0,0,7.68,0
1998,1999,1999/04/20,,,1999/07/22,13.7,,0,0,0,1.5,0,1.5,1.5,13.1,11.43
1997,1998,,,,,,,0,0,0,1,0.5,1.5,1.5,,
1996,1997,,,,,,,0,0,0,1.5,0,1.5,1.5,,
1995,1996,,,,,,,0,0,0,15.64,0,15.64,15.64,,
