盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/20,2018/07/06,18.75,,,2018/08/03,0.6,0,0.6,0,0,0,0.6,22,2.73
2016,2017,2017/06/13,2017/07/04,13.15,,,2017/08/02,0.5,0,0.5,0,0,0,0.5,15.8,3.17
2015,2016,2016/06/15,2016/07/08,16.9,,,2016/08/05,0.25,0,0.25,0,0,0,0.25,13.1,1.91
2014,2015,2015/06/12,2015/07/16,16.05,,,2015/08/14,1,0,1,0,0,0,1,17.8,5.63
2013,2014,2014/06/26,2014/07/30,18.95,,,2014/08/25,0.6,0,0.6,0,0,0,0.6,20.1,2.98
2012,2013,2013/06/10,,,,,,0,0,0,0,0,0,0,14.2,0
2011,2012,2012/06/13,2012/08/01,11.4,,,,0.4,0,0.4,0,0,0,0.4,12.6,3.18
2010,2011,2011/06/15,2011/08/01,22.75,,,,1.8,0,1.8,0,0,0,1.8,20.5,8.79
2009,2010,2010/06/17,,,,,,0,0,0,0,0,0,0,29.6,0
2008,2009,2009/06/16,2009/07/16,14.35,,,,0.75,0,0.75,0,0,0,0.75,17,4.42
2007,2008,2008/06/13,2008/08/11,19.7,2008/08/11,19.7,,1.25,0,1.25,0.5,0,0.5,1.75,25.7,6.83
2006,2007,2007/06/15,2007/08/09,57.22,2007/08/09,57.22,,0.8,0,0.8,0.8,0,0.8,1.6,51.1,3.13
2005,2006,2006/06/15,2006/08/01,41.2,2006/08/01,41.2,,0.41,0,0.41,1.63,0.48,2.12,2.52,53.6,4.71
2004,2005,2005/05/20,2005/07/04,46.14,2005/07/04,46.14,,0.99,0,0.99,1.66,0.32,1.98,2.97,50.2,5.91
2003,2004,2004/06/15,2004/08/09,30.8,2004/08/09,30.8,,0.28,0,0.28,1.12,0.58,1.7,1.98,30.2,6.56
2002,2003,2003/05/09,2003/07/01,36.6,2003/07/16,30.8,,0.4,0,0.4,1.65,1,2.65,3.05,34.6,8.82
2001,2002,2002/05/30,,,2002/06/19,,,0,0,0,2.5,1,3.5,3.5,32.8,10.68
2000,2001,,,,,,,1,0,1,4,0,4,5,,
