盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/27,2018/07/30,13.75,,,2018/08/29(即將發放),0.2,0,0.2,0,0,0,0.2,14.3,1.4
2016,2017,2017/06/20,2017/07/27,13.8,,,2017/08/31,0.6,0,0.6,0,0,0,0.6,14.4,4.17
2015,2016,2016/06/27,2016/07/21,15.9,,,2016/08/19,1,0,1,0,0,0,1,16,6.27
2014,2015,2015/06/15,2015/07/20,14.85,2015/07/20,14.85,2015/08/21,0.3,0,0.3,0.67,0.03,0.7,1,15.5,6.44
2013,2014,2014/06/17,2014/07/14,13.95,,,,0.6,0,0.6,0,0,0,0.6,14.9,4.02
2012,2013,2013/06/17,2013/07/29,14.47,2013/07/29,14.47,,0.7,0,0.7,0.3,0,0.3,1,14.9,6.71
2011,2012,2012/06/12,2012/08/01,13.29,2012/08/01,13.29,,0.25,0,0.25,0.5,0,0.5,0.75,14.6,5.13
2010,2011,2011/06/15,2011/07/05,16.95,,,,0.2,0,0.2,0,0,0,0.2,16.4,1.22
2009,2010,2010/06/15,2010/08/09,20.1,2010/08/09,20.1,,0.25,0,0.25,0.15,0.1,0.25,0.5,19.8,2.52
2008,2009,,,,2009/08/10,13.2,,0,0,0,0.5,0,0.5,0.5,13.7,3.65
2007,2008,2008/06/11,2008/08/12,10.47,2008/08/12,10.47,,0.5,0,0.5,0.5,0,0.5,1,12.3,8.11
2006,2007,2007/06/12,2007/08/09,21.55,2007/08/09,21.55,,0.3,0,0.3,0.5,0,0.5,0.8,15.4,5.18
2005,2006,2006/06/12,,,2006/08/14,8.71,,0,0,0,0.5,0,0.5,0.5,9.37,5.34
2004,2005,2005/06/20,2005/08/09,10.95,2005/08/09,10.95,,0.3,0,0.3,0.5,0,0.5,0.8,11.7,6.83
2003,2004,,2004/08/09,15.5,2004/08/09,15.5,,0.5,0,0.5,1,0,1,1.5,16.8,8.9
2002,2003,2003/06/09,2003/07/22,16.9,2003/07/22,16.9,,0.7,0,0.7,1,0,1,1.7,18.8,9.05
2001,2002,2002/05/29,2002/07/23,21.4,2002/07/23,21.4,,0.7,0,0.7,0.88,0.12,1,1.7,20,8.49
2000,2001,2001/05/21,2001/08/09,13.2,2001/08/09,13.2,,1,0,1,1,0,1,2,15.6,12.79
1999,2000,2000/06/17,,,2000/08/27,,,0,0,0,2.5,0,2.5,2.5,,
1998,1999,1999/05/29,,,1999/08/27,,,0,0,0,1.5,0,1.5,1.5,,
1997,1998,,,,,,,0,0,0,0,0,0,0,,
