盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/08,2018/07/31,86.7,,,2018/09/05(即將發放),4.5,0,4.5,0,0,0,4.5,89.6,5.02
2016,2017,2017/05/26,2017/08/01,93.9,,,2017/09/05,3.28,0.72,4,0,0,0,4,91.3,4.38
2015,2016,2016/05/27,2016/06/24,68.3,,,2016/08/01,2.5,1,3.5,0,0,0,3.5,75.9,4.61
2014,2015,2015/06/16,2015/07/28,49.9,,,2015/09/01,3,0,3,0,0,0,3,60.1,4.99
2013,2014,2014/06/26,2014/07/30,52,,,2014/09/05,0,2,2,0,0,0,2,50.4,3.97
2012,2013,2013/06/14,2013/08/01,54.5,,,,1,2,3,0,0,0,3,50.7,5.92
2011,2012,2012/06/15,2012/08/01,58.4,,,,2.05,0,2.05,0,0,0,2.05,56,3.66
2010,2011,2011/06/24,2011/07/26,85.1,2011/07/26,85.1,,4,0,4,1,0,1,5,86.6,5.78
2009,2010,2010/05/27,2010/07/08,89.5,,,,3.5,0,3.5,0,0,0,3.5,101.4,3.45
2008,2009,2009/06/19,2009/08/06,78.1,2009/08/06,78.1,,3,0,3,0.5,0,0.5,3.5,76.9,4.55
2007,2008,2008/06/13,2008/07/25,92,2008/07/25,92,,4,0,4,1,0,1,5,89.4,5.6
2006,2007,2007/06/15,2007/08/02,123,2007/08/02,123,,3.5,0,3.5,1.5,0,1.5,5,128.9,3.88
2005,2006,2006/06/14,2006/07/20,70.7,2006/07/20,70.7,,3,0,3,1.5,0,1.5,4.5,101.2,4.44
2004,2005,2005/06/14,2005/07/13,92.7,2005/07/13,92.7,,2.5,0,2.5,1.5,0,1.5,4,92.6,4.32
2003,2004,2004/05/18,2004/07/23,45.7,2004/07/23,45.7,,1,0,1,1.5,0,1.5,2.5,65,3.84
2002,2003,2003/06/18,,,2003/07/24,33.1,,0,0,0,0.5,0,0.5,0.5,37.9,1.32
2001,2002,2002/06/20,,,2002/07/30,,,0,0,0,0.5,0,0.5,0.5,,
2000,2001,2001/05/08,,,2001/08/10,,,0,0,0,0.5,0.5,1,1,,
1998,1999,,,,,,,0,0,0,0,0,0,0,,
1997,1998,,,,,,,0,0,0,0,0,0,0,,
