盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/01,,,,,,2,2,4,0,0,0,4,77.3,5.17
2016,2017,2017/06/07,2017/08/17,89.7,,,2017/09/08,2,0,2,0,0,0,2,61.9,3.23
2015,2016,2016/06/06,2016/08/24,41.15,,,2016/09/14,2.5,0,2.5,0,0,0,2.5,40.6,6.15
2014,2015,2015/06/09,2015/08/20,41,,,2015/09/11,4,0,4,0,0,0,4,56.3,7.1
2013,2014,2014/06/11,2014/08/25,97.4,,,2014/09/18,9.58,0,9.58,0,0,0,9.58,103.8,9.22
2012,2013,2013/06/10,2013/08/07,98.5,,,,8,0,8,0,0,0,8,103.8,7.71
2011,2012,2012/06/18,2012/07/18,111,,,,11,0,11,0,0,0,11,108.7,10.12
2010,2011,2011/06/22,2011/08/18,107,,,,9,0,9,0,0,0,9,105,8.57
2009,2010,2010/06/15,2010/08/23,121.5,,,,9.5,0,9.5,0,0,0,9.5,123.3,7.7
2008,2009,2009/06/16,2009/07/30,133,2009/07/30,133,,8,0,8,0.5,0,0.5,8.5,101.8,8.35
2007,2008,2008/06/13,2008/08/04,105.5,2008/08/04,105.5,,15,0,15,0.5,0,0.5,15.5,111,13.97
2006,2007,2007/06/26,2007/08/23,,2007/08/23,,,18.37,0,18.37,2,0,2,20.37,199.1,10.23
