盈餘所屬年度,股利發放年度,股東會日期,除息交易日,除息參考價(元),除權交易日,除權參考價(元),現金股利發放日,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,發放年度平均股價,年均殖利率(%)
2017,2018,2018/06/22,,,,,,0,0,0,0,0,0,0,9.57,0
2016,2017,2017/06/28,,,,,,0,0,0,0,0,0,0,10.6,0
2015,2016,2016/06/29,2016/09/22,10.15,2016/09/22,10.15,2016/11/11,0.2,0,0.2,0.06,0.43,0.48,0.68,10.6,6.42
2014,2015,2015/06/30,2015/09/22,10.75,2015/09/22,10.75,2015/10/23,0.2,0,0.2,1,0,1,1.2,12.2,9.82
2013,2014,2014/06/24,2014/09/26,10.7,2014/09/26,10.7,2014/11/12,0.2,0,0.2,0.49,0,0.49,0.69,11.2,6.1
2012,2013,2013/06/17,,,,,,0,0,0,0,0,0,0,11.2,0
2011,2012,2012/06/08,,,2012/11/08,10.85,,0,0,0,0.62,0,0.62,0.62,11.9,5.19
2010,2011,2011/06/28,,,2011/08/30,13.65,,0,0,0,0.89,0.56,1.45,1.45,14.1,10.31
2009,2010,2010/06/09,,,2010/08/06,13.15,,0,0,0,0.41,0,0.41,0.41,13.6,2.99
2008,2009,2009/05/27,,,2009/08/14,14.35,,0,0,0,0.5,0,0.5,0.5,13.2,3.79
2007,2008,2008/05/28,,,,,,0,0,0,0,0,0,0,13.7,0
2006,2007,2007/06/27,,,,,,0,0,0,0,0,0,0,15.9,0
2005,2006,2006/06/28,,,,,,0,0,0,0,0,0,0,12.1,0
2004,2005,,,,,,,0,0,0,0,0,0,0,3.9,0
2003,2004,,,,,,,0,0,0,0,0,0,0,2.77,0
2002,2003,2003/06/24,,,,,,0,0,0,0,0,0,0,2.03,0
2001,2002,2002/05/28,,,,,,0,0,0,0,0,0,0,3.37,0
2000,2001,,,,,,,0,0,0,0,0,0,0,4.32,0
1999,2000,,,,,,,0,0,0,2.7,0,2.7,2.7,8.59,31.43
1998,1999,,,,,,,0,0,0,0.3,2.7,3,3,28.2,10.64
1997,1998,,,,,,,0,0,0,3,0,3,3,,
1996,1997,,,,,,,0,0,0,0,0,0,0,,
1995,1996,,,,,,,0,0,0,0,0,0,0,,
1994,1995,,,,,,,1.5,0,1.5,0,0,0,1.5,,
1993,1994,,,,,,,1.5,0,1.5,0,0,0,1.5,,
1992,1993,,,,,,,0.67,0,0.67,0,0,0,0.67,,
1990,1991,,,,,,,0,0,0,1.11,0,1.11,1.11,,
